active_params_M,panel,token,expert,num_experts_E,topk_k,moe_layer
8,full MoE  (top-k),95,44,64,6,6
8,full MoE  (top-k),95,49,64,6,6
8,full MoE  (top-k),95,61,64,6,6
8,full MoE  (top-k),96,2,64,6,6
8,full MoE  (top-k),96,3,64,6,6
8,full MoE  (top-k),96,7,64,6,6
8,full MoE  (top-k),96,14,64,6,6
8,full MoE  (top-k),96,33,64,6,6
8,full MoE  (top-k),96,34,64,6,6
8,full MoE  (top-k),97,4,64,6,6
8,full MoE  (top-k),97,5,64,6,6
8,full MoE  (top-k),97,17,64,6,6
8,full MoE  (top-k),97,46,64,6,6
8,full MoE  (top-k),97,47,64,6,6
8,full MoE  (top-k),97,48,64,6,6
8,full MoE  (top-k),98,11,64,6,6
8,full MoE  (top-k),98,24,64,6,6
8,full MoE  (top-k),98,56,64,6,6
8,full MoE  (top-k),98,61,64,6,6
8,full MoE  (top-k),98,62,64,6,6
8,full MoE  (top-k),98,63,64,6,6
8,full MoE  (top-k),99,8,64,6,6
8,full MoE  (top-k),99,10,64,6,6
8,full MoE  (top-k),99,19,64,6,6
8,full MoE  (top-k),99,38,64,6,6
8,full MoE  (top-k),99,56,64,6,6
8,full MoE  (top-k),99,62,64,6,6
8,full MoE  (top-k),100,6,64,6,6
8,full MoE  (top-k),100,12,64,6,6
8,full MoE  (top-k),100,36,64,6,6
8,full MoE  (top-k),100,38,64,6,6
8,full MoE  (top-k),100,44,64,6,6
8,full MoE  (top-k),100,45,64,6,6
8,full MoE  (top-k),101,9,64,6,6
8,full MoE  (top-k),101,44,64,6,6
8,full MoE  (top-k),101,47,64,6,6
8,full MoE  (top-k),101,48,64,6,6
8,full MoE  (top-k),101,49,64,6,6
8,full MoE  (top-k),101,61,64,6,6
8,full MoE  (top-k),102,5,64,6,6
8,full MoE  (top-k),102,20,64,6,6
8,full MoE  (top-k),102,31,64,6,6
8,full MoE  (top-k),102,42,64,6,6
8,full MoE  (top-k),102,47,64,6,6
8,full MoE  (top-k),102,59,64,6,6
8,full MoE  (top-k),103,2,64,6,6
8,full MoE  (top-k),103,24,64,6,6
8,full MoE  (top-k),103,25,64,6,6
8,full MoE  (top-k),103,30,64,6,6
8,full MoE  (top-k),103,49,64,6,6
8,full MoE  (top-k),103,63,64,6,6
8,full MoE  (top-k),104,6,64,6,6
8,full MoE  (top-k),104,27,64,6,6
8,full MoE  (top-k),104,42,64,6,6
8,full MoE  (top-k),104,45,64,6,6
8,full MoE  (top-k),104,48,64,6,6
8,full MoE  (top-k),104,54,64,6,6
8,full MoE  (top-k),105,5,64,6,6
