run,layer,component,expert,matrix,l2,maxabs,kurtosis
g1_moe,2,routed,8,fc1,8.89788,0.179688,0.446035
g1_moe,2,routed,9,fc1,8.55411,0.155273,0.33817
g1_moe,2,routed,10,fc1,9.03473,0.203125,0.437626
g1_moe,2,routed,11,fc1,8.77977,0.157227,0.298859
g1_moe,2,routed,12,fc1,8.49129,0.167969,0.527679
g1_moe,2,routed,13,fc1,8.74549,0.1875,0.566562
g1_moe,2,routed,14,fc1,8.7029,0.183594,0.54356
g1_moe,2,routed,15,fc1,8.22513,0.155273,0.417558
g1_moe,2,routed,16,fc1,8.38795,0.144531,0.315946
g1_moe,2,routed,17,fc1,8.99799,0.192383,0.65897
g1_moe,2,routed,18,fc1,9.05987,0.216797,0.563759
g1_moe,2,routed,19,fc1,8.35837,0.167969,0.37755
g1_moe,2,routed,20,fc1,8.51667,0.172852,0.446416
g1_moe,2,routed,21,fc1,8.21234,0.15918,0.312295
g1_moe,2,routed,22,fc1,8.39795,0.176758,0.438431
g1_moe,2,routed,23,fc1,8.57606,0.18457,0.566688
g1_moe,2,routed,24,fc1,8.68077,0.183594,0.481207
g1_moe,2,routed,25,fc1,8.1868,0.161133,0.407515
g1_moe,2,routed,26,fc1,8.67731,0.174805,0.49144
g1_moe,2,routed,27,fc1,9.08787,0.166992,0.439295
g1_moe,2,routed,28,fc1,9.03865,0.178711,0.47182
g1_moe,2,routed,29,fc1,8.72271,0.157227,0.334791
g1_moe,2,routed,30,fc1,8.69658,0.168945,0.607038
g1_moe,2,routed,31,fc1,8.92503,0.180664,0.621439
g1_moe,2,routed,32,fc1,8.74626,0.179688,0.575378
g1_moe,2,routed,33,fc1,8.16689,0.163086,0.436606
g1_moe,2,routed,34,fc1,9.04563,0.18457,0.548598
g1_moe,2,routed,35,fc1,8.98377,0.144531,0.416428
g1_moe,2,routed,36,fc1,8.57901,0.180664,0.40895
g1_moe,2,routed,37,fc1,9.08808,0.168945,0.572356
g1_moe,2,routed,38,fc1,8.53623,0.151367,0.422422
g1_moe,2,routed,39,fc1,8.91671,0.149414,0.467378
g1_moe,2,routed,40,fc1,8.08572,0.158203,0.386203
g1_moe,2,routed,41,fc1,8.95656,0.179688,0.544949
g1_moe,2,routed,42,fc1,8.84855,0.155273,0.552914
g1_moe,2,routed,43,fc1,8.3325,0.147461,0.366528
g1_moe,2,routed,44,fc1,9.19194,0.168945,0.494459
g1_moe,2,routed,45,fc1,8.7823,0.158203,0.475297
g1_moe,2,routed,46,fc1,8.50473,0.154297,0.359661
g1_moe,2,routed,47,fc1,8.8649,0.170898,0.589176
g1_moe,2,routed,48,fc1,8.76329,0.164062,0.375336
g1_moe,2,routed,49,fc1,8.20039,0.161133,0.450702
g1_moe,2,routed,50,fc1,8.61341,0.146484,0.421716
g1_moe,2,routed,51,fc1,8.51632,0.165039,0.315898
g1_moe,2,routed,52,fc1,8.37514,0.172852,0.341231
g1_moe,2,routed,53,fc1,9.24436,0.170898,0.5973
g1_moe,2,routed,54,fc1,8.81944,0.18457,0.567955
g1_moe,2,routed,55,fc1,8.43083,0.147461,0.232668
g1_moe,2,routed,56,fc1,8.2538,0.164062,0.422139
g1_moe,2,routed,57,fc1,8.55792,0.162109,0.484931
g1_moe,2,routed,58,fc1,8.27253,0.139648,0.374448
g1_moe,2,routed,59,fc1,8.0879,0.141602,0.370347
g1_moe,2,routed,60,fc1,8.89352,0.162109,0.528613
g1_moe,2,routed,61,fc1,8.62594,0.141602,0.314808
g1_moe,2,routed,62,fc1,8.55543,0.188477,0.419053
g1_moe,2,routed,63,fc1,8.8036,0.170898,0.47383
g1_moe,2,routed,0,fc2,3.37736,0.0805664,0.455696
g1_moe,2,routed,1,fc2,3.12863,0.0810547,0.476985
g1_moe,2,routed,2,fc2,2.88596,0.0717773,0.431772
g1_moe,2,routed,3,fc2,3.17377,0.0776367,0.341807
g1_moe,2,routed,4,fc2,3.22758,0.0742188,0.313874
g1_moe,2,routed,5,fc2,3.34765,0.0830078,0.482442
g1_moe,2,routed,6,fc2,3.15739,0.0712891,0.460199
g1_moe,2,routed,7,fc2,3.27698,0.0761719,0.472244
g1_moe,2,routed,8,fc2,3.28443,0.0859375,0.377821
g1_moe,2,routed,9,fc2,3.14649,0.0776367,0.36861
g1_moe,2,routed,10,fc2,3.19651,0.0810547,0.461609
g1_moe,2,routed,11,fc2,3.33157,0.100586,0.410762
g1_moe,2,routed,12,fc2,3.09347,0.0776367,0.597992
g1_moe,2,routed,13,fc2,3.28449,0.0952148,0.389342
g1_moe,2,routed,14,fc2,3.12561,0.0742188,0.446702
g1_moe,2,routed,15,fc2,3.22794,0.0800781,0.566546
g1_moe,2,routed,16,fc2,2.96547,0.0668945,0.445035
g1_moe,2,routed,17,fc2,3.11927,0.10791,0.834236
g1_moe,2,routed,18,fc2,3.25788,0.0927734,0.592237
g1_moe,2,routed,19,fc2,3.0048,0.0742188,0.487923
g1_moe,2,routed,20,fc2,2.98817,0.0698242,0.322466
g1_moe,2,routed,21,fc2,3.11917,0.0683594,0.335267
g1_moe,2,routed,22,fc2,2.9409,0.0883789,0.502797
g1_moe,2,routed,23,fc2,3.05811,0.0878906,0.73881
g1_moe,2,routed,24,fc2,3.19599,0.0742188,0.535892
g1_moe,2,routed,25,fc2,2.95212,0.0844727,0.686869
g1_moe,2,routed,26,fc2,3.10524,0.0834961,0.635454
