# substitution tolerance: per-token CE delta (arm minus unperturbed) on cached test micro-batches; BPB = CE/2.9780 (pythia-50k runs) or CE/2.7568 (tok16k 1e17); 95% percentile bootstrap over documents, 2000 resamples; producer analysis/residency/substitution_tolerance.py from analysis/probes/substitution_eval.py .npz records
run,budget,regime,grain,experts,topk,seed,condition,gate,fraction,layer,n_tokens,n_docs,ref_ce,ref_bpb,delta_ce,delta_ce_lo95,delta_ce_hi95,delta_bpb,delta_bpb_lo95,delta_bpb_hi95,hook_calls,subs_per_token_layer,replay_drift
flame38m_g1_temporal,1e18,temporal,1,64,6,1,random,own,matched,L4,1048576,1322,3.929403,1.3195,0.012790,0.012329,0.013252,0.0043,0.0041,0.0044,16,1.000,0.00e+00
flame38m_g1_temporal,1e18,temporal,1,64,6,1,random,own,matched,L5,1048576,1322,3.929403,1.3195,0.010338,0.009920,0.010736,0.0035,0.0033,0.0036,16,1.000,0.00e+00
flame38m_g1_temporal,1e18,temporal,1,64,6,1,random,own,matched,L6,1048576,1322,3.929403,1.3195,0.009504,0.009127,0.009895,0.0032,0.0031,0.0033,16,1.000,0.00e+00
flame38m_g1_temporal,1e18,temporal,1,64,6,1,random,own,matched,L7,1048576,1322,3.929403,1.3195,0.010173,0.009762,0.010551,0.0034,0.0033,0.0035,16,1.000,0.00e+00
flame38m_g1_temporal,1e18,temporal,1,64,6,1,random,own,matched,L8,1048576,1322,3.929403,1.3195,0.012654,0.012218,0.013088,0.0042,0.0041,0.0044,16,1.000,0.00e+00
flame38m_g1_temporal,1e18,temporal,1,64,6,1,random,own,matched,L9,1048576,1322,3.929403,1.3195,0.012787,0.012333,0.013283,0.0043,0.0041,0.0045,16,1.000,0.00e+00
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,random,own,matched,all,1048576,1322,3.928106,1.3190,0.108041,0.106006,0.110011,0.0363,0.0356,0.0369,128,1.000,0.00e+00
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,random,inherit,matched,all,1048576,1322,3.928106,1.3190,0.145666,0.143437,0.148030,0.0489,0.0482,0.0497,128,1.000,0.00e+00
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,nextbest,own,matched,all,1048576,1322,3.928106,1.3190,0.095068,0.093033,0.097297,0.0319,0.0312,0.0327,128,1.000,0.00e+00
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,nextbest,inherit,matched,all,1048576,1322,3.928106,1.3190,0.112502,0.110331,0.114762,0.0378,0.0370,0.0385,128,1.000,0.00e+00
