label,run,budget,regime,H,E,split,layer_from,layer_to,rank,subspace_overlap,chance_overlap,overlap_over_chance
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,6,11,63,0.2353,0.0783,3.005
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,6,12,63,0.2315,0.0783,2.956
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,6,13,63,0.221,0.0783,2.822
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,6,14,63,0.2395,0.0783,3.058
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,7,2,63,0.1537,0.0783,1.962
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,7,3,63,0.1828,0.0783,2.334
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,7,4,63,0.1917,0.0783,2.447
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,7,5,63,0.2024,0.0783,2.584
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,7,6,63,0.2218,0.0783,2.832
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,7,7,63,1.0,0.0783,12.769
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,7,8,63,0.2356,0.0783,3.008
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,7,9,63,0.2324,0.0783,2.968
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,7,10,63,0.2385,0.0783,3.045
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,7,11,63,0.2476,0.0783,3.162
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,7,12,63,0.2564,0.0783,3.274
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,7,13,63,0.2442,0.0783,3.118
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,7,14,63,0.2618,0.0783,3.342
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,8,2,63,0.1549,0.0783,1.978
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,8,3,63,0.1758,0.0783,2.244
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,8,4,63,0.1955,0.0783,2.497
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,8,5,63,0.1985,0.0783,2.535
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,8,6,63,0.2243,0.0783,2.864
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,8,7,63,0.2356,0.0783,3.008
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,8,8,63,1.0,0.0783,12.769
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,8,9,63,0.2389,0.0783,3.05
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,8,10,63,0.2543,0.0783,3.247
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,8,11,63,0.2632,0.0783,3.361
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,8,12,63,0.2541,0.0783,3.244
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,8,13,63,0.2416,0.0783,3.085
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,8,14,63,0.2625,0.0783,3.352
