"# Downstream 10-task 0-shot for free-set cells. base_free / impose_R8 / CE_adapt_R8 are reused verbatim from olmoe_downstream_ref.csv (correct convention, gate_mass=preserve; rows before 08-08 joined the renorm-era reference instead — see downstream.py header). cell_gap_closed = (cell - impose)/(base_free - impose): 1.0 is free-routing quality, 0.0 is the untrained mask. Higher is better."
task,metric,base_free,impose_R8,CE_adapt_R8,cell_acc,cell_se,cell_minus_base,cell_minus_CE,cell_gap_closed,CE_gap_closed,cell,free_set,train_tokens,cell_bpb
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3763,0.0142,-0.1211,+0.0043,0.2157,0.1878,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
hellaswag,acc,0.5847,0.4864,0.4859,0.4739,0.0050,-0.1108,-0.0120,-0.1272,-0.0051,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6375,0.0048,-0.1434,-0.0152,-0.1940,-0.0674,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
piqa,acc,0.7845,0.7242,0.7280,0.7448,0.0102,-0.0397,+0.0168,0.3416,0.0630,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
piqa,acc_norm,0.7971,0.7203,0.7367,0.7573,0.0100,-0.0398,+0.0206,0.4818,0.2135,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
winogrande,acc,0.6938,0.5691,0.5991,0.5777,0.0139,-0.1161,-0.0214,0.0690,0.2406,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
openbookqa,acc,0.3260,0.2600,0.2200,0.2440,0.0192,-0.0820,+0.0240,-0.2424,-0.6061,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3900,0.0218,-0.0540,+0.0220,0.2286,-0.0857,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
sciq,acc,0.9380,0.9150,0.9270,0.9200,0.0086,-0.0180,-0.0070,0.2174,0.5217,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
sciq,acc_norm,0.9230,0.9110,0.9150,0.9080,0.0091,-0.0150,-0.0070,-0.2500,0.3333,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
boolq,acc,0.7012,0.6309,0.6440,0.6520,0.0083,-0.0492,+0.0080,0.3001,0.1863,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
lambada_openai,acc,0.7056,0.4460,0.5791,0.5894,0.0069,-0.1162,+0.0103,0.5524,0.5127,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
copa,acc,0.8500,0.7500,0.7800,0.7700,0.0423,-0.0800,-0.0100,0.2000,0.3000,ce_free_0_1_15_250M,"0,1,15",250019840,0.790846
arc_easy,acc,0.7698,0.6364,0.6713,0.6801,0.0096,-0.0897,+0.0088,0.3276,0.2616,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6540,0.0098,-0.1137,-0.0076,0.2475,0.2978,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
arc_challenge,acc,0.4667,0.3055,0.3439,0.3549,0.0140,-0.1118,+0.0110,0.3065,0.2382,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3677,0.0141,-0.1297,-0.0043,0.1600,0.1878,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
hellaswag,acc,0.5847,0.4864,0.4859,0.4854,0.0050,-0.0993,-0.0005,-0.0102,-0.0051,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6520,0.0048,-0.1289,-0.0007,-0.0733,-0.0674,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
piqa,acc,0.7845,0.7242,0.7280,0.7448,0.0102,-0.0397,+0.0168,0.3416,0.0630,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
piqa,acc_norm,0.7971,0.7203,0.7367,0.7486,0.0101,-0.0485,+0.0119,0.3685,0.2135,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
winogrande,acc,0.6938,0.5691,0.5991,0.5604,0.0139,-0.1334,-0.0387,-0.0698,0.2406,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
openbookqa,acc,0.3260,0.2600,0.2200,0.2300,0.0188,-0.0960,+0.0100,-0.4545,-0.6061,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3780,0.0217,-0.0660,+0.0100,0.0571,-0.0857,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
sciq,acc,0.9380,0.9150,0.9270,0.9340,0.0079,-0.0040,+0.0070,0.8261,0.5217,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
sciq,acc_norm,0.9230,0.9110,0.9150,0.9010,0.0094,-0.0220,-0.0140,-0.8333,0.3333,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
boolq,acc,0.7012,0.6309,0.6440,0.6422,0.0084,-0.0590,-0.0018,0.1607,0.1863,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
lambada_openai,acc,0.7056,0.4460,0.5791,0.5766,0.0069,-0.1290,-0.0025,0.5031,0.5127,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
copa,acc,0.8500,0.7500,0.7800,0.7500,0.0435,-0.1000,-0.0300,0.0000,0.3000,ce_free_0_1_14_15,"0,1,14,15",50003968,0.786275
arc_easy,acc,0.7698,0.6364,0.6713,0.6949,0.0094,-0.0749,+0.0236,0.4385,0.2616,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6574,0.0097,-0.1103,-0.0042,0.2700,0.2978,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
arc_challenge,acc,0.4667,0.3055,0.3439,0.3592,0.0140,-0.1075,+0.0153,0.3331,0.2382,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3916,0.0143,-0.1058,+0.0196,0.3148,0.1878,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
hellaswag,acc,0.5847,0.4864,0.4859,0.4830,0.0050,-0.1017,-0.0029,-0.0346,-0.0051,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6489,0.0048,-0.1320,-0.0038,-0.0991,-0.0674,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
