run,budget,regime,grain,cache_size_experts,reload_hitrate
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,1,0.01410
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,2,0.03565
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,4,0.08027
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,8,0.16185
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,16,0.29764
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,32,0.50241
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0,0.00000
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,1,0.01408
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,2,0.03669
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,4,0.08280
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,8,0.16573
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,16,0.30482
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,32,0.51245
moe_coarse_1e19,1e19,full,coarse 6/64,0,0.00000
moe_coarse_1e19,1e19,full,coarse 6/64,1,0.02339
moe_coarse_1e19,1e19,full,coarse 6/64,2,0.05105
moe_coarse_1e19,1e19,full,coarse 6/64,4,0.10320
moe_coarse_1e19,1e19,full,coarse 6/64,8,0.19905
moe_coarse_1e19,1e19,full,coarse 6/64,16,0.36726
moe_coarse_1e19,1e19,full,coarse 6/64,32,0.63334
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0,0.00000
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,0.00894
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,2,0.02076
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,4,0.04564
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,8,0.09389
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,16,0.17776
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,32,0.31647
