run,budget,regime,grain,tau,swap_rate,retained_mass
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,4,0.10764,0.19233
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,8,0.00012,0.10991
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0,0.99999,0.37715
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.25,0.99989,0.37715
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,0.5,0.99900,0.37717
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,1,0.98250,0.37689
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,2,0.73318,0.35861
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,4,0.14254,0.22921
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,8,0.00034,0.12247
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0,0.99999,0.43623
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.25,0.99990,0.43623
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,0.5,0.99938,0.43625
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,1,0.98888,0.43607
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,2,0.78043,0.42420
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,4,0.17873,0.32646
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,8,0.00157,0.15943
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0,0.99997,0.44366
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.25,0.99986,0.44365
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,0.5,0.99909,0.44367
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,1,0.98143,0.44342
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,2,0.70753,0.42640
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,4,0.14642,0.31192
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,8,0.00092,0.16143
moe_coarse_1e19,1e19,full,coarse 6/64,0,0.99992,0.18609
moe_coarse_1e19,1e19,full,coarse 6/64,0.25,0.99301,0.18602
moe_coarse_1e19,1e19,full,coarse 6/64,0.5,0.98075,0.18602
moe_coarse_1e19,1e19,full,coarse 6/64,1,0.93658,0.18618
moe_coarse_1e19,1e19,full,coarse 6/64,2,0.79583,0.18539
moe_coarse_1e19,1e19,full,coarse 6/64,4,0.25135,0.16195
moe_coarse_1e19,1e19,full,coarse 6/64,8,0.00015,0.09610
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0,1.00000,0.28110
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.25,0.99892,0.28104
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,0.5,0.99527,0.28100
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,1,0.98514,0.28079
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,2,0.79085,0.27357
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,4,0.09339,0.17657
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,8,0.00001,0.10864
