label,run,layer,expert,variant,n_tokens,eff_vocab,dispersion
s0_TEMPORAL,g3_tmoe_s0_1e16,2,62,weighted,14527,15956.3,0.9341
s0_TEMPORAL,g3_tmoe_s0_1e16,2,62,static,14527,15991.5,0.9161
s0_TEMPORAL,g3_tmoe_s0_1e16,2,63,weighted,4081,15720.9,0.8895
s0_TEMPORAL,g3_tmoe_s0_1e16,2,63,static,4081,15990.0,0.9368
s0_TEMPORAL,g3_tmoe_s0_1e16,2,64,weighted,13296,15954.3,0.8228
s0_TEMPORAL,g3_tmoe_s0_1e16,2,64,static,13296,15987.2,0.8814
s0_TEMPORAL,g3_tmoe_s0_1e16,2,65,weighted,10778,15978.1,0.929
s0_TEMPORAL,g3_tmoe_s0_1e16,2,65,static,10778,15993.0,0.9199
s0_TEMPORAL,g3_tmoe_s0_1e16,2,66,weighted,12117,15997.2,0.8586
s0_TEMPORAL,g3_tmoe_s0_1e16,2,66,static,12117,15995.7,0.8452
s0_TEMPORAL,g3_tmoe_s0_1e16,2,67,weighted,10722,15985.1,0.8908
s0_TEMPORAL,g3_tmoe_s0_1e16,2,67,static,10722,15989.2,0.9094
s0_TEMPORAL,g3_tmoe_s0_1e16,2,68,weighted,8707,15995.3,0.8794
s0_TEMPORAL,g3_tmoe_s0_1e16,2,68,static,8707,15996.8,0.9034
s0_TEMPORAL,g3_tmoe_s0_1e16,2,69,weighted,10331,15998.5,0.8455
s0_TEMPORAL,g3_tmoe_s0_1e16,2,69,static,10331,15998.7,0.8927
s0_TEMPORAL,g3_tmoe_s0_1e16,2,70,weighted,9448,15944.0,0.9287
s0_TEMPORAL,g3_tmoe_s0_1e16,2,70,static,9448,15987.5,0.9002
s0_TEMPORAL,g3_tmoe_s0_1e16,2,71,weighted,11319,15932.3,0.8713
s0_TEMPORAL,g3_tmoe_s0_1e16,2,71,static,11319,15994.9,0.8675
s0_TEMPORAL,g3_tmoe_s0_1e16,2,72,weighted,10909,15911.6,0.9231
s0_TEMPORAL,g3_tmoe_s0_1e16,2,72,static,10909,15985.3,0.8717
s0_TEMPORAL,g3_tmoe_s0_1e16,2,73,weighted,13873,15978.9,0.8867
s0_TEMPORAL,g3_tmoe_s0_1e16,2,73,static,13873,15986.7,0.8757
s0_TEMPORAL,g3_tmoe_s0_1e16,2,74,weighted,12611,15962.4,0.9384
s0_TEMPORAL,g3_tmoe_s0_1e16,2,74,static,12611,15989.5,0.8601
s0_TEMPORAL,g3_tmoe_s0_1e16,2,75,weighted,9278,15989.1,0.894
s0_TEMPORAL,g3_tmoe_s0_1e16,2,75,static,9278,15993.7,0.8787
s0_TEMPORAL,g3_tmoe_s0_1e16,2,76,weighted,16953,15973.0,0.9056
s0_TEMPORAL,g3_tmoe_s0_1e16,2,76,static,16953,15986.2,0.8885
s0_TEMPORAL,g3_tmoe_s0_1e16,2,77,weighted,9859,15963.3,0.8702
s0_TEMPORAL,g3_tmoe_s0_1e16,2,77,static,9859,15979.6,0.9152
s0_TEMPORAL,g3_tmoe_s0_1e16,2,78,weighted,12485,15972.1,0.8763
s0_TEMPORAL,g3_tmoe_s0_1e16,2,78,static,12485,15990.7,0.9321
s0_TEMPORAL,g3_tmoe_s0_1e16,2,79,weighted,10164,15939.0,0.9153
s0_TEMPORAL,g3_tmoe_s0_1e16,2,79,static,10164,15992.4,0.8918
s0_TEMPORAL,g3_tmoe_s0_1e16,2,80,weighted,9987,15799.3,0.9173
s0_TEMPORAL,g3_tmoe_s0_1e16,2,80,static,9987,15990.1,0.8715
s0_TEMPORAL,g3_tmoe_s0_1e16,2,81,weighted,10990,15945.9,0.8701
s0_TEMPORAL,g3_tmoe_s0_1e16,2,81,static,10990,15987.9,0.8669
s0_TEMPORAL,g3_tmoe_s0_1e16,2,82,weighted,10071,15987.6,0.9153
s0_TEMPORAL,g3_tmoe_s0_1e16,2,82,static,10071,15983.7,0.8775
s0_TEMPORAL,g3_tmoe_s0_1e16,2,83,weighted,13590,15978.7,0.879
s0_TEMPORAL,g3_tmoe_s0_1e16,2,83,static,13590,15991.4,0.8757
s0_TEMPORAL,g3_tmoe_s0_1e16,2,84,weighted,10040,15955.4,0.9228
s0_TEMPORAL,g3_tmoe_s0_1e16,2,84,static,10040,15990.1,0.8661
s0_TEMPORAL,g3_tmoe_s0_1e16,2,85,weighted,17760,15994.5,0.8953
s0_TEMPORAL,g3_tmoe_s0_1e16,2,85,static,17760,15995.4,0.9193
s0_TEMPORAL,g3_tmoe_s0_1e16,2,86,weighted,10664,15962.0,0.8964
s0_TEMPORAL,g3_tmoe_s0_1e16,2,86,static,10664,15990.9,0.8512
s0_TEMPORAL,g3_tmoe_s0_1e16,2,87,weighted,8135,15994.2,0.8545
s0_TEMPORAL,g3_tmoe_s0_1e16,2,87,static,8135,15994.8,0.8546
s0_TEMPORAL,g3_tmoe_s0_1e16,2,88,weighted,11663,15950.4,0.9219
s0_TEMPORAL,g3_tmoe_s0_1e16,2,88,static,11663,15986.7,0.8803
s0_TEMPORAL,g3_tmoe_s0_1e16,2,89,weighted,11583,15997.7,0.8824
s0_TEMPORAL,g3_tmoe_s0_1e16,2,89,static,11583,15995.8,0.8298
s0_TEMPORAL,g3_tmoe_s0_1e16,2,90,weighted,11199,15988.4,0.904
s0_TEMPORAL,g3_tmoe_s0_1e16,2,90,static,11199,15991.2,0.8922
s0_TEMPORAL,g3_tmoe_s0_1e16,2,91,weighted,17347,15962.2,0.9063
s0_TEMPORAL,g3_tmoe_s0_1e16,2,91,static,17347,15988.8,0.9406
s0_TEMPORAL,g3_tmoe_s0_1e16,2,92,weighted,9813,15997.6,0.9126
s0_TEMPORAL,g3_tmoe_s0_1e16,2,92,static,9813,15997.1,0.9236
s0_TEMPORAL,g3_tmoe_s0_1e16,2,93,weighted,16969,15958.3,0.8268
s0_TEMPORAL,g3_tmoe_s0_1e16,2,93,static,16969,15986.6,0.9038
s0_TEMPORAL,g3_tmoe_s0_1e16,2,94,weighted,6804,15893.2,0.8841
s0_TEMPORAL,g3_tmoe_s0_1e16,2,94,static,6804,15987.7,0.8947
s0_TEMPORAL,g3_tmoe_s0_1e16,2,95,weighted,14538,15988.6,0.8697
s0_TEMPORAL,g3_tmoe_s0_1e16,2,95,static,14538,15991.7,0.9178
s0_TEMPORAL,g3_tmoe_s0_1e16,2,96,weighted,11566,15976.9,0.8832
s0_TEMPORAL,g3_tmoe_s0_1e16,2,96,static,11566,15990.8,0.8856
