"# qwen3 per-layer damage d_l(R): solo layer l constrained at R, others free, base surface; then fitted greedy allocation vs uniform at iso-memory slot budgets, both surfaces. Training-free, min_logit <=1 swap/token, gate_mass=preserve. free_set column: ALL = every layer free, all_but_l = solo cell. Producer: analysis/ple/frontier_qwen.py --perlayer"
stage,surface,cell,R,free_set,R_map,bpb,swap_rate,n_seq,secs
layers,base,solo_L25_R24,24,all_but_25,,0.615914,1.0000,16,4.7
layers,base,solo_L26_R8,8,all_but_26,,0.616369,0.9976,16,4.7
layers,base,solo_L26_R12,12,all_but_26,,0.616243,0.9995,16,4.7
layers,base,solo_L26_R16,16,all_but_26,,0.615917,0.9999,16,4.7
layers,base,solo_L26_R24,24,all_but_26,,0.615936,1.0000,16,4.7
layers,base,solo_L27_R8,8,all_but_27,,0.616317,0.9959,16,4.7
layers,base,solo_L27_R12,12,all_but_27,,0.616113,0.9993,16,4.7
layers,base,solo_L27_R16,16,all_but_27,,0.615938,0.9999,16,4.7
layers,base,solo_L27_R24,24,all_but_27,,0.615670,1.0000,16,4.7
layers,base,solo_L28_R8,8,all_but_28,,0.616538,0.9981,16,4.7
layers,base,solo_L28_R12,12,all_but_28,,0.616312,0.9995,16,4.7
layers,base,solo_L28_R16,16,all_but_28,,0.616193,0.9999,16,4.7
layers,base,solo_L28_R24,24,all_but_28,,0.615799,1.0000,16,4.7
layers,base,solo_L29_R8,8,all_but_29,,0.616146,0.9986,16,4.7
layers,base,solo_L29_R12,12,all_but_29,,0.615901,0.9997,16,4.7
layers,base,solo_L29_R16,16,all_but_29,,0.615668,1.0000,16,4.7
layers,base,solo_L29_R24,24,all_but_29,,0.615609,1.0000,16,4.7
layers,base,solo_L30_R8,8,all_but_30,,0.615944,0.9853,16,4.7
layers,base,solo_L30_R12,12,all_but_30,,0.615619,0.9964,16,4.7
layers,base,solo_L30_R16,16,all_but_30,,0.615524,0.9989,16,4.7
layers,base,solo_L30_R24,24,all_but_30,,0.615462,0.9999,16,4.7
layers,base,solo_L31_R8,8,all_but_31,,0.615842,0.9793,16,4.7
layers,base,solo_L31_R12,12,all_but_31,,0.615871,0.9953,16,4.7
layers,base,solo_L31_R16,16,all_but_31,,0.615695,0.9987,16,4.7
layers,base,solo_L31_R24,24,all_but_31,,0.615613,0.9998,16,4.7
layers,base,solo_L32_R8,8,all_but_32,,0.616009,0.9962,16,4.7
layers,base,solo_L32_R12,12,all_but_32,,0.615793,0.9994,16,4.7
layers,base,solo_L32_R16,16,all_but_32,,0.615841,0.9998,16,4.7
layers,base,solo_L32_R24,24,all_but_32,,0.615788,1.0000,16,4.7
layers,base,solo_L33_R8,8,all_but_33,,0.616283,0.9960,16,4.7
layers,base,solo_L33_R12,12,all_but_33,,0.616046,0.9991,16,4.7
layers,base,solo_L33_R16,16,all_but_33,,0.615919,0.9997,16,4.7
layers,base,solo_L33_R24,24,all_but_33,,0.615724,1.0000,16,4.7
layers,base,solo_L34_R8,8,all_but_34,,0.616773,0.9986,16,4.7
layers,base,solo_L34_R12,12,all_but_34,,0.616353,0.9998,16,4.7
layers,base,solo_L34_R16,16,all_but_34,,0.616184,1.0000,16,4.7
layers,base,solo_L34_R24,24,all_but_34,,0.615974,1.0000,16,4.7
layers,base,solo_L35_R8,8,all_but_35,,0.616968,0.9983,16,4.7
layers,base,solo_L35_R12,12,all_but_35,,0.616729,0.9996,16,4.7
layers,base,solo_L35_R16,16,all_but_35,,0.616538,1.0000,16,4.7
layers,base,solo_L35_R24,24,all_but_35,,0.616161,1.0000,16,4.7
layers,base,solo_L36_R8,8,all_but_36,,0.617162,0.9982,16,4.7
layers,base,solo_L36_R12,12,all_but_36,,0.616716,0.9998,16,4.7
layers,base,solo_L36_R16,16,all_but_36,,0.616498,1.0000,16,4.7
layers,base,solo_L36_R24,24,all_but_36,,0.616190,1.0000,16,4.7
layers,base,solo_L37_R8,8,all_but_37,,0.618453,0.9990,16,4.7
layers,base,solo_L37_R12,12,all_but_37,,0.617848,0.9998,16,4.7
layers,base,solo_L37_R16,16,all_but_37,,0.617406,0.9999,16,4.7
layers,base,solo_L37_R24,24,all_but_37,,0.616842,1.0000,16,4.7
layers,base,solo_L38_R8,8,all_but_38,,0.618038,0.9972,16,4.7
layers,base,solo_L38_R12,12,all_but_38,,0.617189,0.9995,16,4.7
layers,base,solo_L38_R16,16,all_but_38,,0.616881,0.9998,16,4.7
layers,base,solo_L38_R24,24,all_but_38,,0.616376,1.0000,16,4.7
layers,base,solo_L39_R8,8,all_but_39,,0.617676,0.9981,16,4.7
layers,base,solo_L39_R12,12,all_but_39,,0.616998,0.9998,16,4.7
layers,base,solo_L39_R16,16,all_but_39,,0.616763,0.9999,16,4.7
layers,base,solo_L39_R24,24,all_but_39,,0.616217,1.0000,16,4.7
layers,base,solo_L40_R8,8,all_but_40,,0.618530,0.9951,16,4.7
layers,base,solo_L40_R12,12,all_but_40,,0.617556,0.9985,16,4.7
layers,base,solo_L40_R16,16,all_but_40,,0.617135,0.9996,16,4.7
