run,budget,regime,grain,ema_beta,layer,swap_rate,set_coverage,mass_coverage
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,1,all,0.99093,0.80525,0.82896
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0.5,2,0.98477,0.78714,0.82123
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0.5,3,0.93666,0.88533,0.90656
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0.5,4,0.92032,0.90533,0.92135
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0.5,all,0.94725,0.85927,0.88305
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0.25,2,0.92917,0.85858,0.88441
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0.25,3,0.80544,0.92864,0.94273
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0.25,4,0.75699,0.94195,0.95245
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0.25,all,0.83053,0.90972,0.92653
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0.1,2,0.73995,0.93192,0.94452
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0.1,3,0.54701,0.96405,0.97061
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0.1,4,0.48187,0.97031,0.97536
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0.1,all,0.58961,0.95542,0.96350
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,1,2,0.99644,0.80079,0.99999
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,1,3,0.99515,0.79027,0.99689
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,1,4,0.99511,0.78449,0.95482
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,1,all,0.99557,0.79185,0.98390
