"# Qwen3.5-35B-A3B-Base test-time residency suite, single model load, all cells replayed over identical cached batches. E=128 k=8 layers=48. BPB divisor 3.1998611 (ln2 x bytes/token) on the audited slice re-tokenized to byte-identical text. solo_Lxx = that layer constrained, all others free. 'damage' is that cell's BPB minus free_baseline (0.615371). resident_with_shared includes Qwen's always-on shared expert. Producer: analysis/ple/qwen_sweep.py"
cell,R,resident_routed_pct,resident_with_shared_pct,bpb,ce_nats,swap_rate,route_entropy,eff_load_med,n_seq,secs,damage_vs_free
solo_L38_R32,32,25.00,25.58,0.616296,1.972061,1.0000,0.9108,,16,5.5,+0.000925
solo_L39_R32,32,25.00,25.58,0.616048,1.971269,1.0000,0.9156,,16,5.5,+0.000677
solo_L40_R32,32,25.00,25.58,0.616348,1.972229,1.0000,0.9062,,16,5.5,+0.000977
solo_L41_R32,32,25.00,25.58,0.616572,1.972946,1.0000,0.9014,,16,5.5,+0.001201
solo_L42_R32,32,25.00,25.58,0.616771,1.973582,1.0000,0.8997,,16,5.5,+0.001400
solo_L43_R32,32,25.00,25.58,0.615963,1.970997,1.0000,0.9079,,16,5.4,+0.000592
solo_L44_R32,32,25.00,25.58,0.615965,1.971003,1.0000,0.9116,,16,5.4,+0.000594
solo_L45_R32,32,25.00,25.58,0.615775,1.970393,1.0000,0.9075,,16,5.4,+0.000404
solo_L46_R32,32,25.00,25.58,0.616183,1.971699,0.9999,0.8935,,16,5.4,+0.000812
solo_L47_R32,32,25.00,25.58,0.620309,1.984902,1.0000,0.8763,,16,5.4,+0.004938
