model,nomination_protocol,eviction_kernel,set_coverage,ci_lo,ci_hi,swap_rate,eff_experts,union,max_residency
"15M active, coarse (6 of 64 experts)",selfnom,"box-W demand count, W=8",0.4399,0.4163,0.4711,1.0000,23.52,43,0.9132
"15M active, coarse (6 of 64 experts)",selfnom,"box-W demand count, W=16",0.4444,0.4049,0.4863,1.0000,21.79,45,0.9132
"15M active, coarse (6 of 64 experts)",selfnom,"box-W demand count, W=32",0.4422,0.4072,0.4787,1.0000,19.38,46,0.9132
"15M active, coarse (6 of 64 experts)",selfnom,"box-W demand count, W=64",0.4300,0.3973,0.4658,1.0000,16.89,44,0.9132
"15M active, coarse (6 of 64 experts)",selfnom,"EMA demand, gamma=0.5 (tau~2 tok)",0.4406,0.4163,0.4749,1.0000,24.72,42,0.9132
"15M active, coarse (6 of 64 experts)",selfnom,"EMA demand, gamma=0.25 (tau~4 tok)",0.4437,0.4170,0.4764,1.0000,24.02,43,0.9132
"15M active, coarse (6 of 64 experts)",selfnom,"EMA demand, gamma=0.125 (tau~8 tok)",0.4513,0.4216,0.4855,1.0000,22.11,44,0.9178
"15M active, coarse (6 of 64 experts)",selfnom,"EMA demand, gamma=0.0625 (tau~16 tok)",0.4475,0.4170,0.4817,1.0000,20.04,46,0.9178
"15M active, coarse (6 of 64 experts)",selfnom,"EMA demand, gamma=0.03125 (tau~32 tok)",0.4475,0.4148,0.4840,1.0000,18.53,46,0.9178
"15M active, coarse (6 of 64 experts)",selfnom,"two-scale EMA, fast 0.5 + 0.5*slow 0.03125",0.4482,0.4285,0.4756,1.0000,23.81,43,0.9132
"15M active, coarse (6 of 64 experts)",selfnom,"two-scale EMA, fast 0.5 + 1*slow 0.03125",0.4475,0.4262,0.4764,1.0000,23.05,43,0.9132
"15M active, coarse (6 of 64 experts)",selfnom,"two-scale EMA, fast 0.5 + 2*slow 0.03125",0.4505,0.4254,0.4802,1.0000,21.64,44,0.9132
"15M active, coarse (6 of 64 experts)",selfnom,"two-scale EMA, fast 0.5 + 4*slow 0.03125",0.4414,0.4140,0.4757,1.0000,20.36,43,0.9132
"38M active, coarse (6 of 64 experts)",trace,"min_logit (shipped, logged)",0.4307,0.3501,0.4924,1.0000,26.18,42,0.1187
"38M active, coarse (6 of 64 experts)",trace,lru = FIFO (box on admissions),0.2314,0.1667,0.2671,0.8813,32.51,42,0.3516
"38M active, coarse (6 of 64 experts)",trace,LRD (refresh on demand),0.3478,0.2625,0.4049,0.8995,30.54,42,0.4338
"38M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=1",0.2846,0.1925,0.3440,0.8858,33.23,42,0.3653
"38M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=2",0.3234,0.2351,0.3927,0.8904,32.29,42,0.3836
"38M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=4",0.3303,0.2405,0.3912,0.8950,31.11,42,0.4064
"38M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=8",0.3919,0.3204,0.4406,0.8721,26.66,42,0.7078
"38M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=16",0.4170,0.3424,0.4688,0.8813,23.29,42,0.6621
"38M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=32",0.2846,0.1918,0.3447,0.7945,22.07,42,0.6073
"38M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=64",0.2823,0.1796,0.3402,0.8174,20.44,42,0.6484
"38M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.5 (tau~2 tok)",0.3600,0.2702,0.4254,0.8995,30.00,42,0.4521
"38M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.25 (tau~4 tok)",0.3896,0.3067,0.4460,0.9178,26.71,42,0.7626
"38M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.125 (tau~8 tok)",0.4277,0.3394,0.4878,0.8813,23.41,42,0.6895
