group,name,metric,value,note
parity,A1,entropy,0.995378,"new trainer, PLE flag off"
parity,A1,tokens,10027008,"new trainer, PLE flag off"
parity,A2,bpb,0.980822,"new trainer, PLE flag off, identical to A1"
parity,A2,swap,0.999666,"new trainer, PLE flag off, identical to A1"
parity,A2,entropy,0.995213,"new trainer, PLE flag off, identical to A1"
parity,A2,tokens,10027008,"new trainer, PLE flag off, identical to A1"
parity,B1,bpb,0.983215,"adaptation program arm C, unmodified"
parity,B1,swap,0.999660,"adaptation program arm C, unmodified"
parity,B1,entropy,0.994807,"adaptation program arm C, unmodified"
parity,B1,tokens,10027008,"adaptation program arm C, unmodified"
parity,B2,bpb,0.985913,"adaptation program arm C, second replicate"
parity,B2,swap,0.999650,"adaptation program arm C, second replicate"
parity,B2,entropy,0.995058,"adaptation program arm C, second replicate"
parity,B2,tokens,10027008,"adaptation program arm C, second replicate"
parity,floor_new,bpb,0.000817,|A1 - A2| new trainer's own run-to-run spread
parity,floor_ref,bpb,0.002698,|B1 - B2| reference's own run-to-run spread
parity,delta,bpb,0.003333,|mean(A) - mean(B)| new-code-off vs reference
accounting,32,total_params,2658304,"U[50304,32] + V[32,16,2048]"
accounting,32,flash_fetch_bytes_per_token,64,"U[50304,32] + V[32,16,2048]"
accounting,32,resident_basis_bytes,2097152,"U[50304,32] + V[32,16,2048]"
accounting,32,expert_swap_bytes,12582912,"U[50304,32] + V[32,16,2048]"
accounting,32,fetch_vs_expert_swap,5e-06,"U[50304,32] + V[32,16,2048]"
accounting,32,train_param_plus_grad_GiB,0.02,"U[50304,32] + V[32,16,2048]"
accounting,32,train_adam8bit_GiB,0.005,"U[50304,32] + V[32,16,2048]"
accounting,32,train_total_adam8bit_GiB,0.025,"U[50304,32] + V[32,16,2048]"
accounting,128,total_params,10633216,"U[50304,128] + V[128,16,2048]"
accounting,128,flash_fetch_bytes_per_token,256,"U[50304,128] + V[128,16,2048]"
accounting,128,resident_basis_bytes,8388608,"U[50304,128] + V[128,16,2048]"
accounting,128,expert_swap_bytes,12582912,"U[50304,128] + V[128,16,2048]"
accounting,128,fetch_vs_expert_swap,2e-05,"U[50304,128] + V[128,16,2048]"
accounting,128,train_param_plus_grad_GiB,0.079,"U[50304,128] + V[128,16,2048]"
accounting,128,train_adam8bit_GiB,0.02,"U[50304,128] + V[128,16,2048]"
accounting,128,train_total_adam8bit_GiB,0.099,"U[50304,128] + V[128,16,2048]"
accounting,512,total_params,42532864,"U[50304,512] + V[512,16,2048]"
accounting,512,flash_fetch_bytes_per_token,1024,"U[50304,512] + V[512,16,2048]"
accounting,512,resident_basis_bytes,33554432,"U[50304,512] + V[512,16,2048]"
accounting,512,expert_swap_bytes,12582912,"U[50304,512] + V[512,16,2048]"
accounting,512,fetch_vs_expert_swap,8.1e-05,"U[50304,512] + V[512,16,2048]"
