label,run,budget,regime,layer,expert,split,usage_count,oracle_token_AUC,mi_over_H,n_token_ids,frac_score_rows_backoff
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,0,sequence,12549,0.5817,0.1084,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,1,sequence,11442,0.5686,0.102,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,2,sequence,12323,0.5784,0.1171,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,3,sequence,12013,0.5843,0.1181,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,4,sequence,13761,0.6005,0.1044,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,5,sequence,12848,0.625,0.1736,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,6,sequence,11547,0.6023,0.1653,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,7,sequence,12838,0.6283,0.1496,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,8,sequence,11698,0.7181,0.279,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,9,sequence,11892,0.6434,0.2077,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,10,sequence,11189,0.5524,0.105,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,11,sequence,12323,0.6226,0.1351,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,12,sequence,12324,0.6017,0.128,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,13,sequence,12575,0.5774,0.1099,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,14,sequence,11243,0.674,0.1403,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,15,sequence,12914,0.5873,0.1044,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,16,sequence,12447,0.6267,0.1663,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,17,sequence,12245,0.7786,0.3086,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,18,sequence,11395,0.6056,0.1019,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,19,sequence,14614,0.627,0.1776,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,20,sequence,11661,0.5806,0.1158,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,21,sequence,11031,0.6639,0.1969,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,22,sequence,11221,0.6556,0.1641,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,23,sequence,12079,0.5832,0.1513,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,24,sequence,11203,0.5644,0.131,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,25,sequence,13936,0.5904,0.1254,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,26,sequence,12044,0.6127,0.1421,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,27,sequence,12851,0.5896,0.112,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,28,sequence,12289,0.5628,0.115,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,29,sequence,11594,0.6771,0.202,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,30,sequence,12732,0.5978,0.1311,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,31,sequence,13363,0.6381,0.1179,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,32,sequence,11373,0.5989,0.169,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,33,sequence,12565,0.6257,0.1811,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,34,sequence,13207,0.5903,0.1357,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,35,sequence,12981,0.609,0.1328,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,36,sequence,12783,0.6374,0.1436,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,37,sequence,11895,0.5515,0.1253,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,38,sequence,12438,0.6438,0.1777,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,39,sequence,12694,0.6066,0.1324,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,40,sequence,13086,0.5856,0.1257,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,41,sequence,12967,0.6131,0.1214,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,42,sequence,11799,0.634,0.1816,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,43,sequence,11741,0.6131,0.1442,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,44,sequence,12294,0.5589,0.106,15781,0.2628
