run,budget,regime,grain,policy,layer,set_coverage,mass_coverage
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.5),4,0.44559,0.49958
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.5),5,0.44519,0.48912
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.5),6,0.45088,0.49884
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.5),7,0.48704,0.53031
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.5),8,0.49263,0.52794
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.5),9,0.54195,0.58349
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.5),all,0.45682,0.49905
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.9),2,0.39213,0.41693
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.9),3,0.43705,0.49069
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.9),4,0.46209,0.51991
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.9),5,0.45975,0.50708
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.9),6,0.46803,0.51872
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.9),7,0.49360,0.53885
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.9),8,0.49515,0.53220
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.9),9,0.53421,0.57748
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.9),all,0.46775,0.51273
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.95),2,0.34780,0.37249
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.95),3,0.38243,0.42945
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.95),4,0.40199,0.45314
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.95),5,0.39914,0.44055
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.95),6,0.40356,0.44927
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.95),7,0.42696,0.46716
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.95),8,0.43053,0.46300
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.95),9,0.47231,0.51249
flame38m_g3_temporal,1e18,temporal,fine 18/192,discounted-oracle(g=0.95),all,0.40809,0.44844
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady,2,0.26407,0.29507
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady,3,0.29992,0.35745
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady,4,0.33158,0.39148
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady,5,0.32784,0.38286
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady,6,0.33485,0.38960
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady,7,0.36584,0.41964
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady,8,0.36999,0.42027
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady,9,0.42484,0.48376
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady,all,0.33987,0.39252
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=1),2,0.31180,0.38429
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=1),3,0.34677,0.51710
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=1),4,0.37806,0.51632
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=1),5,0.37434,0.49763
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=1),6,0.38108,0.49107
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=1),7,0.41167,0.51653
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=1),8,0.41604,0.51360
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=1),9,0.47003,0.57108
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=1),all,0.38622,0.50095
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=4),2,0.30257,0.37530
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=4),3,0.34401,0.51523
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=4),4,0.37523,0.51466
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=4),5,0.36995,0.49419
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=4),6,0.38159,0.49260
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=4),7,0.40914,0.51470
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=4),8,0.41135,0.50959
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=4),9,0.46222,0.56457
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=4),all,0.38201,0.49761
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=16),2,0.27061,0.31945
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=16),3,0.29585,0.39891
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=16),4,0.32437,0.41147
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=16),5,0.32237,0.40232
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=16),6,0.32912,0.40299
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=16),7,0.36077,0.43126
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=16),8,0.36873,0.43380
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=16),9,0.42194,0.49144
flame38m_g3_temporal,1e18,temporal,fine 18/192,Belady+prefetch(h=16),all,0.33672,0.41146
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit,2,0.11391,0.11604
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit,3,0.14872,0.16183
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit,4,0.16229,0.17124
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit,5,0.18300,0.19506
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit,6,0.22725,0.25066
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit,7,0.26477,0.29826
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit,8,0.29271,0.33464
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit,9,0.31738,0.37010
