# expert output similarity per run and MoE layer (analysis/probes/expert_similarity.py, N sampled tokens from one cached test micro-batch, every routed expert evaluated on the same inputs, ungated, shared expert excluded); cos_* are mean cosines between expert outputs, relerr_* relative output differences, layer_relchange_* the relative change of the gated layer output when the displaced expert's output is swapped for the substitute's at the same gate, cos_weights the mean pairwise cosine of flattened expert weights; regime init = random initialisation of the same shape. Prediction test vs substitution_tolerance.csv: n_pair_layers=84; spearman_layerchange_gap_vs_subst_gap=0.094; spearman_cos_gap_vs_subst_gap=0.405; n_model_layers=168; spearman_layerchange_vs_subst_within_models=0.070. Producer analysis/residency/expert_similarity.py
run,budget,regime,grain,seed,experts,topk,n_tokens,layer,cos_all,cos_sel_nextbest,cos_sel_random,cos_sel_stale,cos_weights,cos_within_topk,frac_has_stale,layer_relchange_nextbest,layer_relchange_random,layer_relchange_stale,layer_relchange_zero,mean_gate_displaced,mean_out_norm,relerr_all,relerr_sel_nextbest,relerr_sel_random,relerr_sel_stale,tokens_sha256
flame38m_g1_temporal,1e18,temporal,1,1,64,6,2048,4,0.02182,0.05631,0.02382,0.03206,0.00166,0.04931,0.99951,0.35983,0.37014,0.37993,0.27695,0.17077,0.32593,1.48366,1.49017,1.52731,1.47029,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal,1e18,temporal,1,1,64,6,2048,5,0.02262,0.06124,0.03226,0.03261,0.00169,0.05648,0.99951,0.35266,0.35070,0.35856,0.27242,0.16493,0.32671,1.44621,1.45320,1.56393,1.52583,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal,1e18,temporal,1,1,64,6,2048,6,0.02532,0.06538,0.03005,0.03659,0.00164,0.05970,0.99805,0.36107,0.35178,0.35658,0.27724,0.16556,0.37436,1.43684,1.44990,1.59495,1.55545,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal,1e18,temporal,1,1,64,6,2048,7,0.02398,0.05903,0.02983,0.03307,0.00117,0.05392,1.00000,0.35770,0.34578,0.35145,0.27567,0.16537,0.41777,1.44658,1.48341,1.64391,1.59301,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal,1e18,temporal,1,1,64,6,2048,8,0.02499,0.06428,0.03247,0.03533,0.00101,0.05527,0.99756,0.36632,0.35082,0.35526,0.28410,0.17045,0.49016,1.47924,1.50643,1.69298,1.64001,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal,1e18,temporal,1,1,64,6,2048,9,0.04741,0.11152,0.05539,0.06243,0.00101,0.10583,0.99902,0.33917,0.32799,0.32840,0.27106,0.16750,0.66152,1.44622,1.47273,1.74219,1.70613,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal_s2,1e18,temporal,1,2,64,6,2048,2,0.04022,0.07143,0.04011,0.04635,0.00068,0.06525,1.00000,0.37964,0.40804,0.44318,0.29043,0.16585,0.12773,1.47037,1.57826,1.57365,1.47756,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal_s2,1e18,temporal,1,2,64,6,2048,3,0.01828,0.05396,0.02310,0.02279,0.00155,0.04232,1.00000,0.35543,0.37394,0.38195,0.27303,0.17227,0.27435,1.45136,1.47494,1.48585,1.44392,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal_s2,1e18,temporal,1,2,64,6,2048,4,0.02285,0.05732,0.02844,0.02778,0.00152,0.04530,1.00000,0.35320,0.36370,0.37220,0.27356,0.16714,0.28390,1.47437,1.47881,1.52908,1.47869,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal_s2,1e18,temporal,1,2,64,6,2048,5,0.02531,0.06736,0.03064,0.03318,0.00141,0.05681,0.99951,0.36066,0.36175,0.37035,0.28159,0.16892,0.28504,1.44069,1.47671,1.57707,1.51885,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
