"# per-layer W1 (unit ground metric = total variation) between free and residency-constrained router distributions, base IT checkpoints, teacher-forced WildChat (chat template, constraint from position 0, R=k). w1_imposed: mask on free logits (no compounding); w1_endtoend: constrained forward (with drift). lfm distributions are normalised sigmoid scores. Producer: analysis/residency/router_wasserstein.py"
model,family,R,layer,w1_imposed,w1_endtoend,n_tokens
gemma4-26b-it,gemma4,8,18,0.76380,0.76728,18387
gemma4-26b-it,gemma4,8,19,0.75493,0.75945,18387
gemma4-26b-it,gemma4,8,20,0.77748,0.78261,18387
gemma4-26b-it,gemma4,8,21,0.76426,0.76953,18387
gemma4-26b-it,gemma4,8,22,0.76202,0.76987,18387
gemma4-26b-it,gemma4,8,23,0.78200,0.78906,18387
gemma4-26b-it,gemma4,8,24,0.77374,0.78183,18387
gemma4-26b-it,gemma4,8,25,0.79189,0.80028,18387
gemma4-26b-it,gemma4,8,26,0.75589,0.76262,18387
gemma4-26b-it,gemma4,8,27,0.78300,0.79176,18387
gemma4-26b-it,gemma4,8,28,0.67813,0.68495,18387
gemma4-26b-it,gemma4,8,29,0.82422,0.82868,18387
