run,budget,regime,grain,resident_cache_K_over_k,hit_rate,mean_lifetime_tokens
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,9.889,1.00000,2047.052
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,10.444,1.00000,2047.549
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,1.000,0.38700,17.853
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,1.556,0.50547,27.717
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,2.111,0.60211,37.669
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,2.667,0.67810,47.795
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,3.222,0.74056,58.679
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,3.778,0.79285,70.972
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,4.333,0.83437,86.520
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,4.889,0.86703,107.039
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,5.444,0.89559,146.835
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,6.000,0.91805,213.374
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,6.556,0.93599,321.611
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,7.111,0.95357,575.471
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,7.667,0.96718,694.205
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,8.222,0.97897,829.684
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,8.778,0.98714,963.733
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,9.333,0.99319,1162.739
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,9.889,0.99733,1491.290
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,10.444,0.99963,1931.821
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,1.000,0.32815,17.853
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,1.556,0.41586,27.693
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,2.111,0.48091,37.493
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,2.667,0.53692,47.331
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,3.222,0.58698,57.157
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,3.778,0.62899,67.082
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,4.333,0.66488,77.157
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,4.889,0.69630,87.599
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,5.444,0.72920,98.550
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,6.000,0.76122,110.596
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,6.556,0.78953,123.404
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,7.111,0.81871,138.847
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,7.667,0.84671,156.841
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,8.222,0.87779,182.064
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,8.778,0.90445,215.755
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,9.333,0.93478,274.656
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,9.889,0.96306,402.486
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,10.444,0.99097,895.610
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,1.000,0.30985,17.853
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,1.556,0.39905,27.700
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,2.111,0.46810,37.504
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,2.667,0.52629,47.274
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,3.222,0.57519,57.051
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,3.778,0.61713,66.919
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,4.333,0.65875,76.989
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,4.889,0.69712,87.378
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,5.444,0.73226,98.181
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,6.000,0.76818,109.829
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,6.556,0.80134,123.049
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,7.111,0.83473,139.106
