run,layer,expert,out_l2_mean,sel_count,interm_max,interm_kurt,rlogit_mean,rlogit_std,rlogit_mean_res,rlogit_mean_nonres,gate_mean,gate_std
g1_moe,1,40,0.963658,6228,4.21875,1.08061,-5.02621,1.16032,,,0.148309,0.0901709
g1_moe,1,41,0.647636,6494,4.53125,2.40412,-4.23812,0.664066,,,0.114373,0.0662351
g1_moe,1,42,0.62074,5148,4.09375,1.28834,-4.47023,0.966182,,,0.306065,0.257287
g1_moe,1,43,0.935626,6382,4.6875,0.950005,-5.24296,1.36258,,,0.156772,0.0844185
g1_moe,1,44,0.935764,6120,4.53125,0.959909,-4.93472,1.11815,,,0.175841,0.1144
g1_moe,1,45,0.890147,7380,4.25,1.13623,-4.41996,0.912545,,,0.176407,0.0964112
g1_moe,1,46,0.852477,5597,4.5625,1.23555,-5.12136,1.25648,,,0.178052,0.105457
g1_moe,1,47,0.788485,6834,3.92188,0.998486,-4.54545,0.926872,,,0.145008,0.0947858
g1_moe,1,48,0.876303,5705,4.78125,1.14832,-4.93926,1.01488,,,0.155938,0.103133
g1_moe,1,49,0.679699,5741,3.95312,0.895373,-4.85401,1.14023,,,0.155315,0.112139
g1_moe,1,50,0.85123,5752,4.125,0.984664,-4.98244,1.11785,,,0.149881,0.0813145
g1_moe,1,51,0.757309,5410,4.3125,1.5185,-4.45772,0.741094,,,0.114808,0.0759939
g1_moe,1,52,0.684983,5562,4.28125,1.14323,-4.77019,0.949632,,,0.171095,0.124812
g1_moe,1,53,0.899192,5997,3.92188,0.66046,-5.30594,1.46374,,,0.167218,0.0994083
g1_moe,1,54,0.75136,5687,4.15625,1.57443,-4.52886,0.825299,,,0.148376,0.0893397
g1_moe,1,55,0.717751,5495,4.8125,2.29595,-5.14452,1.10995,,,0.108041,0.0980961
g1_moe,1,56,0.867408,6384,4.28125,0.959389,-4.53977,0.969554,,,0.158355,0.0995732
g1_moe,1,57,0.754,6532,3.64062,1.11205,-4.67927,1.0414,,,0.144562,0.075003
g1_moe,1,58,0.765679,6795,4.15625,0.925389,-4.55518,0.975747,,,0.138689,0.093352
g1_moe,1,59,0.794076,8017,4.40625,1.09406,-4.84301,1.20952,,,0.178922,0.106319
g1_moe,1,60,0.85973,6117,3.84375,0.795865,-5.43986,1.51825,,,0.179769,0.111548
g1_moe,1,61,0.761579,6019,4.1875,0.958669,-4.70323,0.993866,,,0.1551,0.0988766
g1_moe,1,62,0.842094,5873,4.09375,0.996777,-5.25068,1.34676,,,0.166285,0.104416
g1_moe,1,63,0.583334,6681,4.09375,2.42125,-4.82634,1.01907,,,0.163857,0.0771595
g1_moe,2,0,0.811924,6281,3.92188,0.656334,-5.45852,1.44737,,,0.17643,0.119668
g1_moe,2,1,0.741279,6638,4.125,0.841634,-5.18816,1.1614,,,0.128397,0.0839823
g1_moe,2,2,0.831415,6865,4.59375,1.56048,-4.92127,1.07037,,,0.125886,0.079026
g1_moe,2,3,0.809737,5659,4.5625,1.07274,-4.91639,1.09658,,,0.168656,0.107645
g1_moe,2,4,0.864112,6160,4.21875,0.839545,-4.74364,0.957008,,,0.118672,0.0824995
