label,run,budget,regime,layer,expert,variant,n_tokens,eff_vocab,dispersion
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,12,weighted,11647,3018.5,0.7401
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,12,static,11647,27029.8,0.9426
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,13,weighted,11565,1224.8,0.6568
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,13,static,11565,18278.6,0.9065
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,14,weighted,11745,10607.9,0.8562
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,14,static,11745,28626.6,0.9479
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,15,weighted,12218,3008.0,0.7398
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,15,static,12218,29040.9,0.9493
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,16,weighted,12856,10011.9,0.8509
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,16,static,12856,25799.3,0.9383
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,17,weighted,12958,6187.9,0.8064
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,17,static,12958,21379.4,0.921
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,18,weighted,12484,12438.7,0.8709
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,18,static,12484,24353.9,0.933
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,19,weighted,12540,3198.5,0.7455
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,19,static,12540,23514.2,0.9298
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,20,weighted,12543,5061.7,0.7879
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,20,static,12543,30697.2,0.9544
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,21,weighted,12387,9644.9,0.8474
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,21,static,12387,16775.8,0.8986
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,22,weighted,12772,428.8,0.5599
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,22,static,12772,26832.2,0.9419
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,23,weighted,11750,6855.5,0.8159
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,23,static,11750,26629.8,0.9412
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,24,weighted,12097,7306.7,0.8218
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,24,static,12097,23071.9,0.928
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,25,weighted,13219,13934.1,0.8814
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,25,static,13219,22989.4,0.9277
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,26,weighted,12814,14246.7,0.8835
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,26,static,12814,27961.6,0.9458
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,27,weighted,11137,17526.3,0.9026
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,27,static,11137,22057.4,0.9238
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,28,weighted,13799,12706.8,0.8729
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,28,static,13799,31514.0,0.9568
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,29,weighted,11735,7775.2,0.8275
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,29,static,11735,12568.9,0.8719
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,30,weighted,11218,3979.0,0.7656
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,30,static,11218,25798.0,0.9383
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,31,weighted,11428,9961.6,0.8504
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,31,static,11428,25713.5,0.938
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,32,weighted,12530,3897.3,0.7637
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,32,static,12530,16829.5,0.8989
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,33,weighted,12862,6902.1,0.8165
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,33,static,12862,30835.3,0.9548
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,34,weighted,11275,12970.1,0.8748
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,34,static,11275,21501.6,0.9215
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,35,weighted,12397,14961.8,0.888
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,35,static,12397,26435.7,0.9406
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,36,weighted,11974,7522.6,0.8245
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,36,static,11974,25458.6,0.9371
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,37,weighted,11672,5762.6,0.7999
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,37,static,11672,24670.4,0.9342
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,38,weighted,11562,9512.6,0.8462
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,38,static,11562,27958.8,0.9457
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,39,weighted,11048,7130.4,0.8195
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,39,static,11048,26835.3,0.942
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,40,weighted,12487,5575.9,0.7968
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,40,static,12487,26545.6,0.941
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,41,weighted,12881,8094.1,0.8312
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,41,static,12881,16985.3,0.8997
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,42,weighted,11901,6355.1,0.8089
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,42,static,11901,21478.9,0.9214
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,43,weighted,12681,14421.7,0.8846
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,43,static,12681,25438.1,0.937
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,44,weighted,13116,9954.3,0.8504
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,44,static,13116,26062.2,0.9393
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,45,weighted,12007,12210.8,0.8692
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,45,static,12007,14596.0,0.8857
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,46,weighted,13343,4299.1,0.7728
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,46,static,13343,25203.4,0.9362
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,47,weighted,12182,11299.4,0.8621
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,47,static,12182,31546.4,0.9569
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,48,weighted,12730,12295.3,0.8699
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,48,static,12730,26442.7,0.9406
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,49,weighted,12055,8464.2,0.8354
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,49,static,12055,30106.8,0.9526
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,50,weighted,12338,10184.4,0.8525
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,50,static,12338,29683.7,0.9513
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,51,weighted,13039,11703.5,0.8653
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,51,static,13039,21549.2,0.9217
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,52,weighted,12196,14682.5,0.8863
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,52,static,12196,31490.9,0.9567
