run,iteration,train_lm_loss,final_test_ce,seed
flame512_g1_moe,80,6.309992E+00,,1234
flame512_g1_moe,85,6.250373E+00,,1234
flame512_g1_moe,90,6.211908E+00,,1234
flame512_g1_moe,95,6.176989E+00,,1234
flame512_g1_moe,100,6.125867E+00,,1234
flame512_g1_moe,105,6.088687E+00,,1234
flame512_g1_moe,110,6.054662E+00,,1234
flame512_g1_moe,115,6.006207E+00,,1234
flame512_g1_moe,120,5.965755E+00,,1234
flame512_g1_moe,125,5.936692E+00,,1234
flame512_g1_moe,130,5.900729E+00,,1234
flame512_g1_moe,135,5.851974E+00,,1234
flame512_g1_moe,140,5.808739E+00,,1234
flame512_g1_moe,145,5.781501E+00,,1234
flame512_g1_moe,150,5.744154E+00,,1234
flame512_g1_moe,155,5.696469E+00,,1234
flame512_g1_moe,160,5.670016E+00,,1234
flame512_g1_moe,165,5.637507E+00,,1234
flame512_g1_moe,170,5.591682E+00,,1234
flame512_g1_moe,175,5.570861E+00,,1234
flame512_g1_moe,180,5.542115E+00,,1234
flame512_g1_moe,185,5.503010E+00,,1234
flame512_g1_moe,190,5.473503E+00,,1234
flame512_g1_moe,195,5.463342E+00,,1234
flame512_g1_moe,200,5.431953E+00,,1234
flame512_g1_moe,205,5.401418E+00,,1234
flame512_g1_moe,210,5.376809E+00,,1234
flame512_g1_moe,215,5.336118E+00,,1234
flame512_g1_moe,220,5.316093E+00,,1234
flame512_g1_moe,225,5.303615E+00,,1234
flame512_g1_moe,230,5.280375E+00,,1234
flame512_g1_moe,235,5.252441E+00,,1234
flame512_g1_moe,240,5.215586E+00,,1234
flame512_g1_moe,245,5.213683E+00,,1234
flame512_g1_moe,250,5.189736E+00,,1234
flame512_g1_moe,255,5.180023E+00,,1234
flame512_g1_moe,260,5.148831E+00,,1234
flame512_g1_moe,265,5.109131E+00,,1234
flame512_g1_moe,270,5.113662E+00,,1234
flame512_g1_moe,275,5.088672E+00,,1234
flame512_g1_moe,280,5.069117E+00,,1234
flame512_g1_moe,285,5.043209E+00,,1234
flame512_g1_moe,290,5.028381E+00,,1234
flame512_g1_moe,295,5.019226E+00,,1234
flame512_g1_moe,300,5.011070E+00,,1234
flame512_g1_moe,305,4.999089E+00,,1234
flame512_g1_moe,310,4.979775E+00,,1234
flame512_g1_moe,315,4.951717E+00,,1234
flame512_g1_moe,320,4.921932E+00,,1234
flame512_g1_moe,325,4.906356E+00,,1234
flame512_g1_moe,330,4.893930E+00,,1234
flame512_g1_moe,335,4.893000E+00,,1234
flame512_g1_moe,340,4.890156E+00,,1234
flame512_g1_moe,345,4.866595E+00,,1234
flame512_g1_moe,350,4.850417E+00,,1234
flame512_g1_moe,355,4.833390E+00,,1234
flame512_g1_moe,360,4.820028E+00,,1234
flame512_g1_moe,365,4.807057E+00,,1234
flame512_g1_moe,370,4.791914E+00,,1234
flame512_g1_moe,375,4.785474E+00,,1234
flame512_g1_moe,380,4.763815E+00,,1234
flame512_g1_moe,385,4.744768E+00,,1234
flame512_g1_moe,390,4.747748E+00,,1234
flame512_g1_moe,395,4.731313E+00,,1234
flame512_g1_moe,400,4.713869E+00,,1234
flame512_g1_moe,405,4.703388E+00,,1234
flame512_g1_moe,410,4.700408E+00,,1234
flame512_g1_moe,415,4.689098E+00,,1234
flame512_g1_moe,420,4.679508E+00,,1234
