run,layer,expert,resident_frac,selected_frac
g1_temporal,4,10,0.106140,0.088425
g1_temporal,4,11,0.105133,0.106705
g1_temporal,4,12,0.086212,0.096008
g1_temporal,4,13,0.099258,0.095169
g1_temporal,4,14,0.095535,0.092789
g1_temporal,4,15,0.082275,0.078415
g1_temporal,4,16,0.113220,0.104431
g1_temporal,4,17,0.092392,0.090714
g1_temporal,4,18,0.095886,0.111694
g1_temporal,4,19,0.092499,0.089676
g1_temporal,4,20,0.082092,0.059631
g1_temporal,4,21,0.099380,0.094269
g1_temporal,4,22,0.082016,0.076355
g1_temporal,4,23,0.092010,0.096664
g1_temporal,4,24,0.093048,0.082260
g1_temporal,4,25,0.084824,0.103882
g1_temporal,4,26,0.117676,0.100357
g1_temporal,4,27,0.084000,0.099609
g1_temporal,4,28,0.076675,0.108200
g1_temporal,4,29,0.099472,0.119736
g1_temporal,4,30,0.084625,0.101440
g1_temporal,4,31,0.112671,0.079391
g1_temporal,4,32,0.100922,0.077255
g1_temporal,4,33,0.092010,0.099930
g1_temporal,4,34,0.082352,0.086197
g1_temporal,4,35,0.092361,0.078293
g1_temporal,4,36,0.111801,0.097656
g1_temporal,4,37,0.085266,0.093567
g1_temporal,4,38,0.152100,0.138367
g1_temporal,4,39,0.080002,0.088486
g1_temporal,4,40,0.114380,0.126190
g1_temporal,4,41,0.090546,0.101334
g1_temporal,4,42,0.088470,0.089890
g1_temporal,4,43,0.074142,0.084259
g1_temporal,4,44,0.073822,0.086929
g1_temporal,4,45,0.096451,0.108185
g1_temporal,4,46,0.094452,0.074783
g1_temporal,4,47,0.077209,0.079895
g1_temporal,4,48,0.101959,0.094879
g1_temporal,4,49,0.093689,0.091354
g1_temporal,4,50,0.093063,0.084412
g1_temporal,4,51,0.099335,0.093292
g1_temporal,4,52,0.092545,0.099289
g1_temporal,4,53,0.076553,0.087479
g1_temporal,4,54,0.060486,0.072800
g1_temporal,4,55,0.094055,0.077179
g1_temporal,4,56,0.088318,0.092056
g1_temporal,4,57,0.110504,0.117065
g1_temporal,4,58,0.092819,0.082687
g1_temporal,4,59,0.076767,0.086014
g1_temporal,4,60,0.107468,0.095917
g1_temporal,4,61,0.099747,0.093811
g1_temporal,4,62,0.069168,0.086334
g1_temporal,4,63,0.092560,0.093292
g1_temporal,5,0,0.105606,0.095291
g1_temporal,5,1,0.088028,0.092606
g1_temporal,5,2,0.092758,0.087402
g1_temporal,5,3,0.080826,0.089859
g1_temporal,5,4,0.078369,0.085953
g1_temporal,5,5,0.073654,0.097672
g1_temporal,5,6,0.099884,0.096680
g1_temporal,5,7,0.078125,0.088654
g1_temporal,5,8,0.084747,0.083633
g1_temporal,5,9,0.091705,0.105438
g1_temporal,5,10,0.094727,0.112427
g1_temporal,5,11,0.075363,0.083099
g1_temporal,5,12,0.104767,0.090897
g1_temporal,5,13,0.078857,0.080765
g1_temporal,5,14,0.097443,0.090271
g1_temporal,5,15,0.095154,0.105774
g1_temporal,5,16,0.127869,0.122910
g1_temporal,5,17,0.085464,0.089111
g1_temporal,5,18,0.103790,0.101501
g1_temporal,5,19,0.084702,0.098007
g1_temporal,5,20,0.120438,0.111618
g1_temporal,5,21,0.085251,0.086151
g1_temporal,5,22,0.112885,0.107986
g1_temporal,5,23,0.097717,0.105835
g1_temporal,5,24,0.092407,0.116577
g1_temporal,5,25,0.088089,0.085159
g1_temporal,5,26,0.104202,0.065231
g1_temporal,5,27,0.096664,0.109833
g1_temporal,5,28,0.077499,0.082809
g1_temporal,5,29,0.109955,0.096649
g1_temporal,5,30,0.078232,0.087341
g1_temporal,5,31,0.093201,0.096786
g1_temporal,5,32,0.083572,0.094162
g1_temporal,5,33,0.105469,0.122742
g1_temporal,5,34,0.098206,0.099289
g1_temporal,5,35,0.101837,0.075333
g1_temporal,5,36,0.092285,0.095779
g1_temporal,5,37,0.071838,0.088699
g1_temporal,5,38,0.076843,0.083328
g1_temporal,5,39,0.099686,0.104965
g1_temporal,5,40,0.094406,0.096344
g1_temporal,5,41,0.120697,0.094131
g1_temporal,5,42,0.073547,0.084457
g1_temporal,5,43,0.098480,0.092880
g1_temporal,5,44,0.096420,0.098068
g1_temporal,5,45,0.098251,0.073792
g1_temporal,5,46,0.126373,0.115295
