"# OLMoE residency frontier, training-free, gate_mass=preserve, min_logit. Surfaces: base and the 100M T=1 distillation winner (csurf_distill100M). swap_rate = mean resident-set changes/token/layer (fetch-bandwidth axis); memory axis = total resident slots (uniform R: R*16; R_map cells list slots). Producer: analysis/residency/frontier_olmoe.py"
stage,surface,cell,R,swaps,free_set,R_map,bpb,swap_rate,n_seq,secs
layers,base,solo_L11_R12,12,1,"0,1,2,3,4,5,6,7,8,9,10,12,13,14,15",,0.676796,0.9998,16,6.2
layers,base,solo_L11_R16,16,1,"0,1,2,3,4,5,6,7,8,9,10,12,13,14,15",,0.675823,0.9999,16,6.2
layers,base,solo_L11_R24,24,1,"0,1,2,3,4,5,6,7,8,9,10,12,13,14,15",,0.674522,0.9999,16,6.2
layers,base,solo_L12_R8,8,1,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,15",,0.679528,0.9990,16,6.2
layers,base,solo_L12_R12,12,1,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,15",,0.677723,0.9998,16,6.2
layers,base,solo_L12_R16,16,1,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,15",,0.676528,0.9999,16,6.2
layers,base,solo_L12_R24,24,1,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,15",,0.674524,1.0000,16,6.2
layers,base,solo_L13_R8,8,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15",,0.678411,0.9987,16,6.2
layers,base,solo_L13_R12,12,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15",,0.676692,0.9997,16,6.2
layers,base,solo_L13_R16,16,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15",,0.675441,0.9998,16,6.2
layers,base,solo_L13_R24,24,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15",,0.673872,1.0000,16,6.2
layers,base,solo_L14_R8,8,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15",,0.681474,0.9989,16,6.2
layers,base,solo_L14_R12,12,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15",,0.679054,0.9997,16,6.2
layers,base,solo_L14_R16,16,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15",,0.677227,0.9999,16,6.2
layers,base,solo_L14_R24,24,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15",,0.674855,0.9999,16,6.2
layers,base,solo_L15_R8,8,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",,0.692648,0.9981,16,6.2
layers,base,solo_L15_R12,12,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",,0.687112,0.9993,16,6.2
layers,base,solo_L15_R16,16,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",,0.683407,0.9998,16,6.2
layers,base,solo_L15_R24,24,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",,0.679003,0.9999,16,6.2
alloc,base,fitted_B192,8,1,,0:12;1:11;2:10;3:8;4:10;5:10;6:11;7:9;8:9;9:12;10:13;11:11;12:14;13:13;14:16;15:23,0.790166,0.9998,16,6.5
alloc,base,uniform_B192,12,1,,,0.795202,0.9998,16,6.4
alloc,distill100M,fitted_B192,8,1,,0:12;1:11;2:10;3:8;4:10;5:10;6:11;7:9;8:9;9:12;10:13;11:11;12:14;13:13;14:16;15:23,0.758459,0.9998,16,6.5
alloc,distill100M,uniform_B192,12,1,,,0.760069,0.9998,16,6.4
alloc,base,fitted_B256,8,1,,0:16;1:14;2:13;3:11;4:13;5:12;6:14;7:13;8:13;9:16;10:18;11:15;12:19;13:17;14:21;15:31,0.764370,0.9999,16,6.5
alloc,base,uniform_B256,16,1,,,0.768745,1.0000,16,6.5
alloc,distill100M,fitted_B256,8,1,,0:16;1:14;2:13;3:11;4:13;5:12;6:14;7:13;8:13;9:16;10:18;11:15;12:19;13:17;14:21;15:31,0.745887,0.9999,16,6.4
alloc,distill100M,uniform_B256,16,1,,,0.746110,1.0000,16,6.5
