label,run,budget,layer,variant,split,feature,null_type,median_AUC_floor,n_experts
flame192_g3_moe,flame192_g3_moe,1e18,9,base,sequence,token,iid,0.4997,192
flame192_g3_moe,flame192_g3_moe,1e18,9,base,sequence,token,circular,0.4999,192
flame192_g3_moe,flame192_g3_moe,1e18,9,base,sequence,context,iid,0.5006,192
flame192_g3_moe,flame192_g3_moe,1e18,9,base,sequence,context,circular,0.5031,192
flame192_g3_temporal,flame192_g3_temporal,1e18,2,kwin,sequence,token,iid,0.4996,192
flame192_g3_temporal,flame192_g3_temporal,1e18,2,kwin,sequence,token,circular,0.4989,192
flame192_g3_temporal,flame192_g3_temporal,1e18,2,kwin,sequence,context,iid,0.5003,192
flame192_g3_temporal,flame192_g3_temporal,1e18,2,kwin,sequence,context,circular,0.499,192
flame192_g3_temporal,flame192_g3_temporal,1e18,3,kwin,sequence,token,iid,0.4985,190
flame192_g3_temporal,flame192_g3_temporal,1e18,3,kwin,sequence,token,circular,0.4997,190
flame192_g3_temporal,flame192_g3_temporal,1e18,3,kwin,sequence,context,iid,0.4999,190
flame192_g3_temporal,flame192_g3_temporal,1e18,3,kwin,sequence,context,circular,0.5008,190
flame192_g3_temporal,flame192_g3_temporal,1e18,4,kwin,sequence,token,iid,0.5003,192
flame192_g3_temporal,flame192_g3_temporal,1e18,4,kwin,sequence,token,circular,0.5006,192
flame192_g3_temporal,flame192_g3_temporal,1e18,4,kwin,sequence,context,iid,0.4997,192
flame192_g3_temporal,flame192_g3_temporal,1e18,4,kwin,sequence,context,circular,0.5016,192
flame192_g3_temporal,flame192_g3_temporal,1e18,5,kwin,sequence,token,iid,0.5002,192
flame192_g3_temporal,flame192_g3_temporal,1e18,5,kwin,sequence,token,circular,0.4998,192
flame192_g3_temporal,flame192_g3_temporal,1e18,5,kwin,sequence,context,iid,0.5002,192
flame192_g3_temporal,flame192_g3_temporal,1e18,5,kwin,sequence,context,circular,0.502,192
flame192_g3_temporal,flame192_g3_temporal,1e18,6,kwin,sequence,token,iid,0.5004,192
flame192_g3_temporal,flame192_g3_temporal,1e18,6,kwin,sequence,token,circular,0.5,192
flame192_g3_temporal,flame192_g3_temporal,1e18,6,kwin,sequence,context,iid,0.4987,192
flame192_g3_temporal,flame192_g3_temporal,1e18,6,kwin,sequence,context,circular,0.5017,192
flame192_g3_temporal,flame192_g3_temporal,1e18,7,kwin,sequence,token,iid,0.5004,192
flame192_g3_temporal,flame192_g3_temporal,1e18,7,kwin,sequence,token,circular,0.4996,192
flame192_g3_temporal,flame192_g3_temporal,1e18,7,kwin,sequence,context,iid,0.4993,192
flame192_g3_temporal,flame192_g3_temporal,1e18,7,kwin,sequence,context,circular,0.5019,192
flame192_g3_temporal,flame192_g3_temporal,1e18,8,kwin,sequence,token,iid,0.5006,192
flame192_g3_temporal,flame192_g3_temporal,1e18,8,kwin,sequence,token,circular,0.4993,192
flame192_g3_temporal,flame192_g3_temporal,1e18,8,kwin,sequence,context,iid,0.4996,192
flame192_g3_temporal,flame192_g3_temporal,1e18,8,kwin,sequence,context,circular,0.5014,192
flame192_g3_temporal,flame192_g3_temporal,1e18,9,kwin,sequence,token,iid,0.4997,192
flame192_g3_temporal,flame192_g3_temporal,1e18,9,kwin,sequence,token,circular,0.4992,192
flame192_g3_temporal,flame192_g3_temporal,1e18,9,kwin,sequence,context,iid,0.5007,192
flame192_g3_temporal,flame192_g3_temporal,1e18,9,kwin,sequence,context,circular,0.5015,192
flame192_g3_temporal,flame192_g3_temporal,1e18,2,kfull,sequence,token,iid,0.5003,192
flame192_g3_temporal,flame192_g3_temporal,1e18,2,kfull,sequence,token,circular,0.4989,192
flame192_g3_temporal,flame192_g3_temporal,1e18,2,kfull,sequence,context,iid,0.4996,192
flame192_g3_temporal,flame192_g3_temporal,1e18,2,kfull,sequence,context,circular,0.4981,192
flame192_g3_temporal,flame192_g3_temporal,1e18,3,kfull,sequence,token,iid,0.5006,190
flame192_g3_temporal,flame192_g3_temporal,1e18,3,kfull,sequence,token,circular,0.4997,190
flame192_g3_temporal,flame192_g3_temporal,1e18,3,kfull,sequence,context,iid,0.4997,190
flame192_g3_temporal,flame192_g3_temporal,1e18,3,kfull,sequence,context,circular,0.5019,190
flame192_g3_temporal,flame192_g3_temporal,1e18,4,kfull,sequence,token,iid,0.4998,192
flame192_g3_temporal,flame192_g3_temporal,1e18,4,kfull,sequence,token,circular,0.5006,192
flame192_g3_temporal,flame192_g3_temporal,1e18,4,kfull,sequence,context,iid,0.5005,192
flame192_g3_temporal,flame192_g3_temporal,1e18,4,kfull,sequence,context,circular,0.5012,192
flame192_g3_temporal,flame192_g3_temporal,1e18,5,kfull,sequence,token,iid,0.5004,192
flame192_g3_temporal,flame192_g3_temporal,1e18,5,kfull,sequence,token,circular,0.4998,192
flame192_g3_temporal,flame192_g3_temporal,1e18,5,kfull,sequence,context,iid,0.4998,192
flame192_g3_temporal,flame192_g3_temporal,1e18,5,kfull,sequence,context,circular,0.5032,192
flame192_g3_temporal,flame192_g3_temporal,1e18,6,kfull,sequence,token,iid,0.5006,192
flame192_g3_temporal,flame192_g3_temporal,1e18,6,kfull,sequence,token,circular,0.5,192
flame192_g3_temporal,flame192_g3_temporal,1e18,6,kfull,sequence,context,iid,0.5,192
flame192_g3_temporal,flame192_g3_temporal,1e18,6,kfull,sequence,context,circular,0.503,192
flame192_g3_temporal,flame192_g3_temporal,1e18,7,kfull,sequence,token,iid,0.5006,192
flame192_g3_temporal,flame192_g3_temporal,1e18,7,kfull,sequence,token,circular,0.4996,192
flame192_g3_temporal,flame192_g3_temporal,1e18,7,kfull,sequence,context,iid,0.5001,192
flame192_g3_temporal,flame192_g3_temporal,1e18,7,kfull,sequence,context,circular,0.5046,192
flame192_g3_temporal,flame192_g3_temporal,1e18,8,kfull,sequence,token,iid,0.4997,192
flame192_g3_temporal,flame192_g3_temporal,1e18,8,kfull,sequence,token,circular,0.4993,192
flame192_g3_temporal,flame192_g3_temporal,1e18,8,kfull,sequence,context,iid,0.4994,192
flame192_g3_temporal,flame192_g3_temporal,1e18,8,kfull,sequence,context,circular,0.5041,192
flame192_g3_temporal,flame192_g3_temporal,1e18,9,kfull,sequence,token,iid,0.4997,192
flame192_g3_temporal,flame192_g3_temporal,1e18,9,kfull,sequence,token,circular,0.4992,192
flame192_g3_temporal,flame192_g3_temporal,1e18,9,kfull,sequence,context,iid,0.4997,192
flame192_g3_temporal,flame192_g3_temporal,1e18,9,kfull,sequence,context,circular,0.5023,192
flame192_g3_temporal,flame192_g3_temporal,1e18,2,base,sequence,token,iid,0.5002,192
flame192_g3_temporal,flame192_g3_temporal,1e18,2,base,sequence,token,circular,0.4989,192
flame192_g3_temporal,flame192_g3_temporal,1e18,2,base,sequence,context,iid,0.4995,192
flame192_g3_temporal,flame192_g3_temporal,1e18,2,base,sequence,context,circular,0.4988,192
flame192_g3_temporal,flame192_g3_temporal,1e18,3,base,sequence,token,iid,0.4999,190
flame192_g3_temporal,flame192_g3_temporal,1e18,3,base,sequence,token,circular,0.4997,190
flame192_g3_temporal,flame192_g3_temporal,1e18,3,base,sequence,context,iid,0.4996,190
flame192_g3_temporal,flame192_g3_temporal,1e18,3,base,sequence,context,circular,0.5032,190
flame192_g3_temporal,flame192_g3_temporal,1e18,4,base,sequence,token,iid,0.4998,192
flame192_g3_temporal,flame192_g3_temporal,1e18,4,base,sequence,token,circular,0.5006,192
flame192_g3_temporal,flame192_g3_temporal,1e18,4,base,sequence,context,iid,0.5004,192
flame192_g3_temporal,flame192_g3_temporal,1e18,4,base,sequence,context,circular,0.5016,192
flame192_g3_temporal,flame192_g3_temporal,1e18,5,base,sequence,token,iid,0.4997,192
flame192_g3_temporal,flame192_g3_temporal,1e18,5,base,sequence,token,circular,0.4998,192
flame192_g3_temporal,flame192_g3_temporal,1e18,5,base,sequence,context,iid,0.5007,192
flame192_g3_temporal,flame192_g3_temporal,1e18,5,base,sequence,context,circular,0.5031,192
flame192_g3_temporal,flame192_g3_temporal,1e18,6,base,sequence,token,iid,0.5004,192
flame192_g3_temporal,flame192_g3_temporal,1e18,6,base,sequence,token,circular,0.5,192
flame192_g3_temporal,flame192_g3_temporal,1e18,6,base,sequence,context,iid,0.4997,192
flame192_g3_temporal,flame192_g3_temporal,1e18,6,base,sequence,context,circular,0.5023,192
flame192_g3_temporal,flame192_g3_temporal,1e18,7,base,sequence,token,iid,0.4995,192
flame192_g3_temporal,flame192_g3_temporal,1e18,7,base,sequence,token,circular,0.4996,192
flame192_g3_temporal,flame192_g3_temporal,1e18,7,base,sequence,context,iid,0.4997,192
flame192_g3_temporal,flame192_g3_temporal,1e18,7,base,sequence,context,circular,0.5021,192
flame192_g3_temporal,flame192_g3_temporal,1e18,8,base,sequence,token,iid,0.5002,192
flame192_g3_temporal,flame192_g3_temporal,1e18,8,base,sequence,token,circular,0.4993,192
flame192_g3_temporal,flame192_g3_temporal,1e18,8,base,sequence,context,iid,0.5002,192
flame192_g3_temporal,flame192_g3_temporal,1e18,8,base,sequence,context,circular,0.5033,192
flame192_g3_temporal,flame192_g3_temporal,1e18,9,base,sequence,token,iid,0.501,192
flame192_g3_temporal,flame192_g3_temporal,1e18,9,base,sequence,token,circular,0.4992,192
flame192_g3_temporal,flame192_g3_temporal,1e18,9,base,sequence,context,iid,0.5004,192
flame192_g3_temporal,flame192_g3_temporal,1e18,9,base,sequence,context,circular,0.5036,192
flame38m_g1_moe,flame38m_g1_moe,1e18,2,kwin,sequence,token,iid,0.5001,64
flame38m_g1_moe,flame38m_g1_moe,1e18,2,kwin,sequence,token,circular,0.5009,64
flame38m_g1_moe,flame38m_g1_moe,1e18,2,kwin,sequence,context,iid,0.4998,64
