label,run,layer,expert,variant,n_tokens,eff_vocab,dispersion
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,50,weighted,10389,15602.7,0.9166
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,50,static,10389,15981.3,0.8981
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,51,weighted,11267,15393.9,0.9521
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,51,static,11267,15972.4,0.8806
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,52,weighted,11854,15210.0,0.9348
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,52,static,11854,15983.6,0.8884
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,53,weighted,12450,15676.9,0.8738
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,53,static,12450,15986.6,0.9321
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,54,weighted,12829,15469.4,0.9071
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,54,static,12829,15975.3,0.892
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,55,weighted,13410,14310.7,0.911
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,55,static,13410,15986.8,0.8537
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,56,weighted,10205,15435.7,0.9287
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,56,static,10205,15980.7,0.8751
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,57,weighted,12277,15427.2,0.9369
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,57,static,12277,15981.1,0.8872
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,58,weighted,14050,15337.1,0.9344
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,58,static,14050,15982.4,0.795
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,59,weighted,13948,15346.9,0.9281
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,59,static,13948,15983.9,0.9337
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,60,weighted,13587,15646.8,0.929
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,60,static,13587,15983.9,0.9055
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,61,weighted,13203,15035.2,0.9305
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,61,static,13203,15966.6,0.8632
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,62,weighted,9866,14730.2,0.9315
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,62,static,9866,15979.0,0.8993
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,63,weighted,10094,15807.3,0.8979
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,63,static,10094,15962.2,0.8925
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,64,weighted,12451,15561.3,0.9053
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,64,static,12451,15990.2,0.9114
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,65,weighted,10930,15458.1,0.9435
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,65,static,10930,15980.1,0.9129
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,66,weighted,11726,14941.9,0.94
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,66,static,11726,15991.1,0.914
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,67,weighted,11818,14676.9,0.8611
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,67,static,11818,15984.7,0.8885
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,68,weighted,12719,14413.7,0.9338
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,68,static,12719,15986.5,0.8923
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,69,weighted,10662,15656.4,0.9069
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,69,static,10662,15984.1,0.9091
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,70,weighted,9466,15869.0,0.8717
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,70,static,9466,15982.5,0.8995
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,71,weighted,9718,15544.9,0.9011
