run,iteration,train_lm_loss,final_val_ce,final_test_ce,seed
flame38m_g1_moe,1280,4.215288E+00,,,1234
flame38m_g1_moe,1285,4.220536E+00,,,1234
flame38m_g1_moe,1290,4.213208E+00,,,1234
flame38m_g1_moe,1295,4.216089E+00,,,1234
flame38m_g1_moe,1300,4.208865E+00,,,1234
flame38m_g1_moe,1305,4.211893E+00,,,1234
flame38m_g1_moe,1310,4.201056E+00,,,1234
flame38m_g1_moe,1315,4.198776E+00,,,1234
flame38m_g1_moe,1320,4.189252E+00,,,1234
flame38m_g1_moe,1325,4.195920E+00,,,1234
flame38m_g1_moe,1330,4.186588E+00,,,1234
flame38m_g1_moe,1335,4.178198E+00,,,1234
flame38m_g1_moe,1340,4.186857E+00,,,1234
flame38m_g1_moe,1345,4.173536E+00,,,1234
flame38m_g1_moe,1350,4.177822E+00,,,1234
flame38m_g1_moe,1355,4.177135E+00,,,1234
flame38m_g1_moe,1360,4.178614E+00,,,1234
flame38m_g1_moe,1365,4.176074E+00,,,1234
flame38m_g1_moe,1370,4.166446E+00,,,1234
flame38m_g1_moe,1375,4.166428E+00,,,1234
flame38m_g1_moe,1380,4.172760E+00,,,1234
flame38m_g1_moe,1385,4.160972E+00,,,1234
flame38m_g1_moe,1390,4.165575E+00,,,1234
flame38m_g1_moe,1395,4.165905E+00,,,1234
flame38m_g1_moe,1400,4.156662E+00,,,1234
flame38m_g1_moe,1405,4.155263E+00,,,1234
flame38m_g1_moe,1410,4.149377E+00,,,1234
flame38m_g1_moe,1415,4.148143E+00,,,1234
flame38m_g1_moe,1420,4.145989E+00,,,1234
flame38m_g1_moe,1425,4.142123E+00,,,1234
flame38m_g1_moe,1430,4.143053E+00,,,1234
flame38m_g1_moe,1435,4.139912E+00,,,1234
flame38m_g1_moe,1440,4.148648E+00,,,1234
flame38m_g1_moe,1445,4.144435E+00,,,1234
flame38m_g1_moe,1450,4.139119E+00,,,1234
flame38m_g1_moe,1455,4.140667E+00,,,1234
flame38m_g1_moe,1460,4.134255E+00,,,1234
flame38m_g1_moe,1465,4.133821E+00,,,1234
flame38m_g1_moe,1470,4.120993E+00,,,1234
flame38m_g1_moe,1475,4.119772E+00,,,1234
flame38m_g1_moe,1480,4.114291E+00,,,1234
flame38m_g1_moe,1485,4.113556E+00,,,1234
flame38m_g1_moe,1490,4.115876E+00,,,1234
flame38m_g1_moe,1495,4.116967E+00,,,1234
flame38m_g1_moe,1500,4.111869E+00,,,1234
flame38m_g1_moe,1505,4.106603E+00,,,1234
flame38m_g1_moe,1510,4.111696E+00,,,1234
flame38m_g1_moe,1515,4.104787E+00,,,1234
flame38m_g1_moe,1520,4.111589E+00,,,1234
flame38m_g1_moe,1525,4.094131E+00,,,1234
flame38m_g1_moe,1530,4.097356E+00,,,1234
flame38m_g1_moe,1535,4.100742E+00,,,1234
flame38m_g1_moe,1540,4.094608E+00,,,1234
flame38m_g1_moe,1545,4.095343E+00,,,1234
flame38m_g1_moe,1550,4.088593E+00,,,1234
flame38m_g1_moe,1555,4.101070E+00,,,1234
flame38m_g1_moe,1560,4.085534E+00,,,1234
flame38m_g1_moe,1565,4.085195E+00,,,1234
flame38m_g1_moe,1570,4.090557E+00,,,1234
flame38m_g1_moe,1575,4.084348E+00,,,1234
flame38m_g1_moe,1580,4.090186E+00,,,1234
flame38m_g1_moe,1585,4.083326E+00,,,1234
flame38m_g1_moe,1590,4.075857E+00,,,1234
flame38m_g1_moe,1595,4.070331E+00,,,1234
flame38m_g1_moe,1600,4.072581E+00,,,1234
flame38m_g1_moe,1605,4.060334E+00,,,1234
flame38m_g1_moe,1610,4.061036E+00,,,1234
flame38m_g1_moe,1615,4.067756E+00,,,1234
flame38m_g1_moe,1620,4.058242E+00,,,1234
flame38m_g1_moe,1625,4.058735E+00,,,1234
flame38m_g1_moe,1630,4.050726E+00,,,1234
flame38m_g1_moe,1635,4.057563E+00,,,1234
flame38m_g1_moe,1640,4.058313E+00,,,1234
flame38m_g1_moe,1645,4.053014E+00,,,1234
flame38m_g1_moe,1650,4.058957E+00,,,1234
flame38m_g1_moe,1655,4.060519E+00,,,1234
flame38m_g1_moe,1660,4.052950E+00,,,1234
flame38m_g1_moe,1665,4.048109E+00,,,1234
flame38m_g1_moe,1670,4.042938E+00,,,1234
flame38m_g1_moe,1675,4.048269E+00,,,1234
flame38m_g1_moe,1680,4.037637E+00,,,1234
flame38m_g1_moe,1685,4.039348E+00,,,1234
flame38m_g1_moe,1690,4.035038E+00,,,1234
flame38m_g1_moe,1695,4.039485E+00,,,1234
flame38m_g1_moe,1700,4.036464E+00,,,1234
flame38m_g1_moe,1705,4.036180E+00,,,1234
flame38m_g1_moe,1710,4.031329E+00,,,1234
flame38m_g1_moe,1715,4.032065E+00,,,1234
flame38m_g1_moe,1720,4.024693E+00,,,1234
flame38m_g1_moe,1725,4.033001E+00,,,1234
flame38m_g1_moe,1730,4.018996E+00,,,1234
flame38m_g1_moe,1735,4.023740E+00,,,1234
flame38m_g1_moe,1740,4.024881E+00,,,1234
flame38m_g1_moe,1745,4.029066E+00,,,1234
flame38m_g1_moe,1750,4.025901E+00,,,1234
flame38m_g1_moe,1755,4.017434E+00,,,1234
flame38m_g1_moe,1760,4.016515E+00,,,1234
flame38m_g1_moe,1765,4.022202E+00,,,1234
flame38m_g1_moe,1770,4.011090E+00,,,1234
flame38m_g1_moe,1775,4.016442E+00,,,1234
flame38m_g1_moe,1780,4.012457E+00,,,1234
flame38m_g1_moe,1785,4.016755E+00,,,1234
flame38m_g1_moe,1790,4.010555E+00,,,1234
flame38m_g1_moe,1795,4.012364E+00,,,1234
flame38m_g1_moe,1800,4.009401E+00,,,1234
flame38m_g1_moe,1805,3.999086E+00,,,1234
flame38m_g1_moe,1810,4.003339E+00,,,1234
flame38m_g1_moe,1815,3.998923E+00,,,1234
flame38m_g1_moe,1820,4.000262E+00,,,1234
flame38m_g1_moe,1825,4.002447E+00,,,1234
flame38m_g1_moe,1830,3.992393E+00,,,1234
flame38m_g1_moe,1835,3.996367E+00,,,1234
flame38m_g1_moe,1840,3.979534E+00,,,1234
flame38m_g1_moe,1845,3.979628E+00,,,1234
flame38m_g1_moe,1850,3.987862E+00,,,1234
flame38m_g1_moe,1855,3.982656E+00,,,1234
flame38m_g1_moe,1860,3.979719E+00,,,1234
flame38m_g1_moe,1865,3.987067E+00,,,1234
flame38m_g1_moe,1870,3.987621E+00,,,1234
flame38m_g1_moe,1875,3.986322E+00,,,1234
flame38m_g1_moe,1880,3.986351E+00,,,1234
flame38m_g1_moe,1885,3.995539E+00,,,1234
flame38m_g1_moe,1890,3.987469E+00,,,1234
flame38m_g1_moe,1895,3.969930E+00,,,1234
flame38m_g1_moe,1900,3.970418E+00,,,1234
flame38m_g1_moe,1905,3.970726E+00,,,1234
flame38m_g1_moe,1910,3.967160E+00,,,1234
flame38m_g1_moe,1915,3.983803E+00,,,1234
flame38m_g1_moe,1920,3.969989E+00,,,1234
flame38m_g1_moe,1925,3.965082E+00,,,1234
flame38m_g1_moe,1930,3.968480E+00,,,1234
flame38m_g1_moe,1935,3.954996E+00,,,1234
flame38m_g1_moe,1940,3.959863E+00,,,1234
flame38m_g1_moe,1945,3.953862E+00,,,1234
