label,run,layer,expert,eff_vocab,semantic_dispersion
s0_TEMPORAL,g3_tmoe_s0_1e16,1,93,15986.6,0.9038
s0_TEMPORAL,g3_tmoe_s0_1e16,1,94,15987.73,0.8947
s0_TEMPORAL,g3_tmoe_s0_1e16,1,95,15991.7,0.9178
s0_TEMPORAL,g3_tmoe_s0_1e16,1,96,15990.78,0.8856
s0_TEMPORAL,g3_tmoe_s0_1e16,1,97,15987.73,0.8943
s0_TEMPORAL,g3_tmoe_s0_1e16,1,98,15985.26,0.8966
s0_TEMPORAL,g3_tmoe_s0_1e16,1,99,15993.65,0.8898
s0_TEMPORAL,g3_tmoe_s0_1e16,1,100,15991.94,0.8984
s0_TEMPORAL,g3_tmoe_s0_1e16,1,101,15989.87,0.8853
s0_TEMPORAL,g3_tmoe_s0_1e16,1,102,15990.75,0.9164
s0_TEMPORAL,g3_tmoe_s0_1e16,1,103,15993.71,0.9009
s0_TEMPORAL,g3_tmoe_s0_1e16,1,104,15989.62,0.8325
s0_TEMPORAL,g3_tmoe_s0_1e16,1,105,15988.04,0.864
s0_TEMPORAL,g3_tmoe_s0_1e16,1,106,15990.72,0.8586
s0_TEMPORAL,g3_tmoe_s0_1e16,1,107,15990.87,0.8907
s0_TEMPORAL,g3_tmoe_s0_1e16,1,108,15992.24,0.8853
s0_TEMPORAL,g3_tmoe_s0_1e16,1,109,15996.97,0.8573
s0_TEMPORAL,g3_tmoe_s0_1e16,1,110,15988.37,0.8986
s0_TEMPORAL,g3_tmoe_s0_1e16,1,111,15998.38,0.8511
s0_TEMPORAL,g3_tmoe_s0_1e16,1,112,15994.07,0.9021
s0_TEMPORAL,g3_tmoe_s0_1e16,1,113,15990.84,0.8658
s0_TEMPORAL,g3_tmoe_s0_1e16,1,114,15991.7,0.8658
s0_TEMPORAL,g3_tmoe_s0_1e16,1,115,15982.06,0.8922
s0_TEMPORAL,g3_tmoe_s0_1e16,1,116,15990.46,0.8929
s0_TEMPORAL,g3_tmoe_s0_1e16,1,117,15992.18,0.8858
s0_TEMPORAL,g3_tmoe_s0_1e16,1,118,15990.14,0.9025
s0_TEMPORAL,g3_tmoe_s0_1e16,1,119,15988.36,0.8697
s0_TEMPORAL,g3_tmoe_s0_1e16,1,120,15990.77,0.9132
s0_TEMPORAL,g3_tmoe_s0_1e16,1,121,15997.58,0.9354
s0_TEMPORAL,g3_tmoe_s0_1e16,1,122,15996.03,0.8954
s0_TEMPORAL,g3_tmoe_s0_1e16,1,123,15985.75,0.8875
s0_TEMPORAL,g3_tmoe_s0_1e16,1,124,15987.9,0.8893
s0_TEMPORAL,g3_tmoe_s0_1e16,1,125,15994.07,0.9064
s0_TEMPORAL,g3_tmoe_s0_1e16,1,126,15996.52,0.8909
s0_TEMPORAL,g3_tmoe_s0_1e16,1,127,15988.6,0.8527
s0_TEMPORAL,g3_tmoe_s0_1e16,1,128,15995.83,0.8921
s0_TEMPORAL,g3_tmoe_s0_1e16,1,129,15986.85,0.9373
s0_TEMPORAL,g3_tmoe_s0_1e16,1,130,15985.69,0.8526
s0_TEMPORAL,g3_tmoe_s0_1e16,1,131,15991.0,0.8814
s0_TEMPORAL,g3_tmoe_s0_1e16,1,132,15993.37,0.8719
s0_TEMPORAL,g3_tmoe_s0_1e16,1,133,15985.34,0.9002
s0_TEMPORAL,g3_tmoe_s0_1e16,1,134,15991.27,0.9144
s0_TEMPORAL,g3_tmoe_s0_1e16,1,135,15994.78,0.8953
s0_TEMPORAL,g3_tmoe_s0_1e16,1,136,15997.37,0.8819
s0_TEMPORAL,g3_tmoe_s0_1e16,1,137,15989.58,0.7718
s0_TEMPORAL,g3_tmoe_s0_1e16,1,138,15993.65,0.9047
