label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s0_TEMPORAL,g3_tmoe_s0_1e16,2,150,4327,0.6533,0.7596,0.1063
s0_TEMPORAL,g3_tmoe_s0_1e16,2,151,3197,0.6921,0.7633,0.0713
s0_TEMPORAL,g3_tmoe_s0_1e16,2,152,1108,0.5784,0.7862,0.2078
s0_TEMPORAL,g3_tmoe_s0_1e16,2,153,3384,0.5918,0.8267,0.2349
s0_TEMPORAL,g3_tmoe_s0_1e16,2,154,3223,0.5984,0.8851,0.2866
s0_TEMPORAL,g3_tmoe_s0_1e16,2,155,750,0.5272,0.3066,-0.2206
s0_TEMPORAL,g3_tmoe_s0_1e16,2,157,912,0.6846,0.7023,0.0177
s0_TEMPORAL,g3_tmoe_s0_1e16,2,158,57,nan,nan,nan
s0_TEMPORAL,g3_tmoe_s0_1e16,2,159,6246,0.5952,0.7054,0.1101
s0_TEMPORAL,g3_tmoe_s0_1e16,2,160,978,0.6114,0.8639,0.2525
s0_TEMPORAL,g3_tmoe_s0_1e16,2,161,7186,0.6348,0.7026,0.0678
s0_TEMPORAL,g3_tmoe_s0_1e16,2,162,6383,0.5914,0.7816,0.1902
s0_TEMPORAL,g3_tmoe_s0_1e16,2,164,491,0.7876,0.7234,-0.0642
s0_TEMPORAL,g3_tmoe_s0_1e16,2,165,4209,0.5817,0.7077,0.126
s0_TEMPORAL,g3_tmoe_s0_1e16,2,166,2200,0.73,0.693,-0.037
s0_TEMPORAL,g3_tmoe_s0_1e16,2,167,7066,0.6012,0.7738,0.1726
s0_TEMPORAL,g3_tmoe_s0_1e16,2,169,6306,0.5575,0.6301,0.0726
s0_TEMPORAL,g3_tmoe_s0_1e16,2,170,3098,0.5493,0.672,0.1227
s0_TEMPORAL,g3_tmoe_s0_1e16,2,171,1597,0.7076,0.8137,0.1062
s0_TEMPORAL,g3_tmoe_s0_1e16,2,172,234,0.5764,0.5778,0.0013
s0_TEMPORAL,g3_tmoe_s0_1e16,2,173,5277,0.6244,0.7716,0.1472
s0_TEMPORAL,g3_tmoe_s0_1e16,2,174,7903,0.6874,0.8272,0.1399
s0_TEMPORAL,g3_tmoe_s0_1e16,2,175,496,0.5527,0.6729,0.1202
s0_TEMPORAL,g3_tmoe_s0_1e16,2,176,1821,0.5962,0.803,0.2068
s0_TEMPORAL,g3_tmoe_s0_1e16,2,177,2695,0.6708,0.7338,0.063
s0_TEMPORAL,g3_tmoe_s0_1e16,2,178,5122,0.675,0.7635,0.0885
s0_TEMPORAL,g3_tmoe_s0_1e16,2,179,1667,0.6485,0.7812,0.1327
s0_TEMPORAL,g3_tmoe_s0_1e16,2,180,805,0.6073,0.746,0.1387
s0_TEMPORAL,g3_tmoe_s0_1e16,2,181,2106,0.6397,0.8634,0.2237
s0_TEMPORAL,g3_tmoe_s0_1e16,2,182,2429,0.6116,0.8478,0.2363
s0_TEMPORAL,g3_tmoe_s0_1e16,2,183,230,0.5179,0.1659,-0.3519
s0_TEMPORAL,g3_tmoe_s0_1e16,2,184,80,0.488,0.0884,-0.3997
s0_TEMPORAL,g3_tmoe_s0_1e16,2,185,1660,0.758,0.82,0.062
s0_TEMPORAL,g3_tmoe_s0_1e16,2,186,4735,0.5523,0.6321,0.0797
s0_TEMPORAL,g3_tmoe_s0_1e16,2,187,1821,0.6827,0.82,0.1373
s0_TEMPORAL,g3_tmoe_s0_1e16,2,189,1014,0.4894,0.6171,0.1277
s0_TEMPORAL,g3_tmoe_s0_1e16,2,191,2177,0.7504,0.7014,-0.049
s0_TEMPORAL,g3_tmoe_s0_1e16,3,0,1014,0.9298,0.6967,-0.2331
s0_TEMPORAL,g3_tmoe_s0_1e16,3,1,1330,0.5517,0.6759,0.1242
s0_TEMPORAL,g3_tmoe_s0_1e16,3,2,372,0.5634,0.7875,0.2241
s0_TEMPORAL,g3_tmoe_s0_1e16,3,3,4302,0.5397,0.6549,0.1152
s0_TEMPORAL,g3_tmoe_s0_1e16,3,4,4070,0.6206,0.7608,0.1402
s0_TEMPORAL,g3_tmoe_s0_1e16,3,6,3341,0.6052,0.7393,0.1342
s0_TEMPORAL,g3_tmoe_s0_1e16,3,7,444,0.808,0.7235,-0.0845
s0_TEMPORAL,g3_tmoe_s0_1e16,3,8,1509,0.6203,0.7887,0.1683
s0_TEMPORAL,g3_tmoe_s0_1e16,3,9,2210,0.6352,0.7957,0.1605
s0_TEMPORAL,g3_tmoe_s0_1e16,3,10,13238,0.6154,0.7424,0.127
s0_TEMPORAL,g3_tmoe_s0_1e16,3,11,1822,0.6131,0.7475,0.1344
s0_TEMPORAL,g3_tmoe_s0_1e16,3,12,7790,0.6842,0.7112,0.0269
s0_TEMPORAL,g3_tmoe_s0_1e16,3,13,4534,0.5698,0.7919,0.2221
s0_TEMPORAL,g3_tmoe_s0_1e16,3,14,6980,0.6309,0.7685,0.1376
s0_TEMPORAL,g3_tmoe_s0_1e16,3,15,1357,0.7803,0.7945,0.0142
s0_TEMPORAL,g3_tmoe_s0_1e16,3,16,3520,0.6386,0.8069,0.1683
s0_TEMPORAL,g3_tmoe_s0_1e16,3,17,3956,0.5499,0.6409,0.091
s0_TEMPORAL,g3_tmoe_s0_1e16,3,18,357,0.4707,0.555,0.0843
s0_TEMPORAL,g3_tmoe_s0_1e16,3,19,1806,0.6222,0.9026,0.2804
s0_TEMPORAL,g3_tmoe_s0_1e16,3,20,11941,0.6625,0.762,0.0995
s0_TEMPORAL,g3_tmoe_s0_1e16,3,21,1319,0.5959,0.7761,0.1802
s0_TEMPORAL,g3_tmoe_s0_1e16,3,22,4777,0.6327,0.8515,0.2188
s0_TEMPORAL,g3_tmoe_s0_1e16,3,23,2065,0.573,0.749,0.1759
s0_TEMPORAL,g3_tmoe_s0_1e16,3,24,8762,0.5979,0.7162,0.1183
s0_TEMPORAL,g3_tmoe_s0_1e16,3,25,2021,0.6378,0.9383,0.3005
s0_TEMPORAL,g3_tmoe_s0_1e16,3,26,1795,0.6926,0.805,0.1124
s0_TEMPORAL,g3_tmoe_s0_1e16,3,27,5173,0.7055,0.8028,0.0973
s0_TEMPORAL,g3_tmoe_s0_1e16,3,28,2683,0.7248,0.7993,0.0745
s0_TEMPORAL,g3_tmoe_s0_1e16,3,29,17525,0.5582,0.6911,0.1329
s0_TEMPORAL,g3_tmoe_s0_1e16,3,30,1456,0.7254,0.9268,0.2014
s0_TEMPORAL,g3_tmoe_s0_1e16,3,31,2440,0.7348,0.9095,0.1747
s0_TEMPORAL,g3_tmoe_s0_1e16,3,32,1447,0.5955,0.7657,0.1703
