label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,13,581,0.5484,0.5395,-0.0089
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,14,813,0.6141,0.5495,-0.0646
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,15,920,0.5337,0.7389,0.2052
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,16,1117,0.5294,0.7565,0.2272
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,17,719,0.6562,0.4856,-0.1706
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,18,637,0.6052,0.5563,-0.0489
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,19,589,0.8833,0.4606,-0.4228
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,20,534,0.5611,0.8282,0.2671
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,21,686,0.6113,0.5952,-0.0161
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,22,447,0.5145,0.5939,0.0794
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,23,708,0.6048,0.4908,-0.114
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,24,945,0.5532,0.6408,0.0876
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,25,613,0.5757,0.6099,0.0342
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,26,1169,0.6198,0.7418,0.122
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,27,674,0.635,0.5485,-0.0865
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,28,565,0.5422,0.5999,0.0578
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,29,360,0.5276,0.761,0.2334
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,30,638,0.5864,0.7477,0.1613
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,31,1276,0.5598,0.5864,0.0266
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,32,556,0.5916,0.6678,0.0761
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,33,603,0.5528,0.5713,0.0185
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,34,1609,0.5717,0.6314,0.0597
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,35,1051,0.6108,0.5566,-0.0542
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,36,870,0.6056,0.7662,0.1606
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,37,832,0.6188,0.5429,-0.076
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,38,559,0.5781,0.5382,-0.0399
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,39,596,0.6295,0.5148,-0.1147
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,40,567,0.5703,0.5558,-0.0145
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,41,1299,0.501,0.5416,0.0406
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,42,738,0.6975,0.587,-0.1105
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,43,1280,0.5468,0.7041,0.1573
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,44,459,0.5396,0.7097,0.1702
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,45,705,0.6018,0.5879,-0.014
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,46,730,0.6274,0.5316,-0.0959
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,47,614,0.6814,0.6099,-0.0715
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,48,679,0.5863,0.6586,0.0724
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,49,708,0.6039,0.6332,0.0293
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,50,557,0.7176,0.5907,-0.1269
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,51,273,0.5453,0.7473,0.2021
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,52,484,0.5789,0.7024,0.1235
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,53,475,0.5708,0.485,-0.0858
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,54,824,0.5539,0.5765,0.0226
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,55,571,0.6457,0.9093,0.2637
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,56,606,0.5522,0.555,0.0028
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,57,728,0.7444,0.5266,-0.2178
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,58,561,0.6346,0.5139,-0.1207
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,59,937,0.6597,0.5951,-0.0646
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,60,682,0.5295,0.5735,0.044
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,61,827,0.5065,0.6247,0.1181
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,62,692,0.6272,0.6455,0.0183
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,3,63,1086,0.5417,0.7155,0.1738
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,0,609,0.6976,0.7062,0.0086
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,1,702,0.74,0.57,-0.17
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,2,589,0.7431,0.5722,-0.1709
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,3,252,0.49,0.6887,0.1987
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,4,797,0.6216,0.5611,-0.0605
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,5,824,0.7189,0.5303,-0.1887
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,6,743,0.6424,0.7076,0.0652
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,7,746,0.6906,0.6873,-0.0033
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,8,648,0.6344,0.5433,-0.0912
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,9,1216,0.5405,0.6056,0.065
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,10,792,0.6164,0.5149,-0.1016
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,11,621,0.5384,0.6099,0.0715
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,12,922,0.5456,0.5846,0.039
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,13,781,0.5491,0.4847,-0.0644
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,14,685,0.5011,0.4758,-0.0253
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,15,799,0.5951,0.5943,-0.0007
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,16,763,0.5824,0.5483,-0.0341
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,17,660,0.5992,0.5714,-0.0278
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,18,845,0.5761,0.5422,-0.0338
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,19,740,0.583,0.5587,-0.0243
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,20,826,0.7583,0.5612,-0.1971
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,21,625,0.5545,0.5241,-0.0304
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,22,891,0.573,0.5084,-0.0646
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,23,557,0.5267,0.7699,0.2432
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,24,876,0.5716,0.646,0.0744
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,25,812,0.6518,0.5903,-0.0614
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,26,1097,0.5466,0.8452,0.2986
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,27,390,0.6419,0.7713,0.1294
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,28,499,0.6345,0.5721,-0.0624
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,4,29,494,0.72,0.7706,0.0506
