label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,70,2258,0.9295,0.6972,-0.2323
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,71,2393,0.8581,0.6279,-0.2303
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,72,2732,0.8926,0.6295,-0.2631
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,73,2759,0.908,0.6412,-0.2668
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,74,3212,0.9736,0.6422,-0.3314
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,75,2964,0.8957,0.6077,-0.288
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,76,3319,0.9553,0.5907,-0.3645
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,77,2861,0.9318,0.7042,-0.2277
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,78,2668,0.9047,0.6109,-0.2938
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,79,3073,0.9893,0.6028,-0.3865
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,80,3133,0.9452,0.5852,-0.36
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,81,2983,0.9479,0.5866,-0.3613
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,82,3444,0.9422,0.6908,-0.2514
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,83,2943,0.9293,0.5612,-0.3681
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,84,2367,0.8922,0.5888,-0.3035
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,85,3090,0.9408,0.5857,-0.3551
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,86,3338,0.9697,0.6389,-0.3308
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,87,2891,0.9293,0.6122,-0.317
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,88,2972,0.9675,0.6277,-0.3398
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,89,2871,0.9274,0.6512,-0.2762
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,90,3393,0.9876,0.5613,-0.4263
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,91,3642,0.9578,0.6142,-0.3436
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,92,2852,0.9622,0.6322,-0.3299
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,93,2967,0.8666,0.6663,-0.2003
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,94,2598,0.8602,0.7448,-0.1154
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,95,2999,0.8849,0.5932,-0.2917
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,96,3029,0.9448,0.6595,-0.2853
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,97,2897,0.9578,0.5826,-0.3751
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,98,2732,0.9088,0.5506,-0.3581
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,99,3674,0.9736,0.5962,-0.3773
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,100,2772,0.949,0.553,-0.396
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,101,2625,0.9307,0.6502,-0.2805
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,102,2988,0.9657,0.649,-0.3166
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,103,2851,0.907,0.594,-0.313
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,104,2689,0.9539,0.6675,-0.2864
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,105,3042,0.8987,0.6069,-0.2918
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,106,3118,0.9044,0.5841,-0.3202
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,107,3112,0.9404,0.622,-0.3184
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,108,3149,0.9004,0.5619,-0.3385
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,109,3166,0.8852,0.6379,-0.2473
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,110,3290,0.9829,0.6165,-0.3664
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,111,2816,0.9236,0.6326,-0.2911
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,112,2180,0.8793,0.6237,-0.2556
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,113,2815,0.9176,0.6243,-0.2932
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,114,2639,0.9117,0.6927,-0.219
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,115,2832,0.9278,0.5823,-0.3455
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,116,2886,0.953,0.5974,-0.3556
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,117,3010,0.9027,0.7015,-0.2012
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,118,2707,0.9482,0.6541,-0.2941
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,119,3596,0.8935,0.5844,-0.3091
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,120,3384,0.968,0.5694,-0.3986
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,121,3463,0.9365,0.6245,-0.312
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,122,2937,0.8918,0.7166,-0.1752
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,123,3167,0.9626,0.5887,-0.3739
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,124,3594,0.9389,0.6076,-0.3313
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,125,2547,0.9029,0.6138,-0.2891
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,126,2635,0.9435,0.7522,-0.1913
