cell,layer,expert,residency_share,selectivity_PRfrac,gate_when_selected,dist_to_centroid
L0_s1,2,139,0.11109,0.49415,0.00853,0.85409
L0_s1,2,140,0.10596,0.24807,0.01189,0.8732
L0_s1,2,141,0.13358,0.92898,0.00705,0.85784
L0_s1,2,142,0.11179,0.78904,0.00907,0.89448
L0_s1,2,143,0.0575,0.40331,0.01007,0.87931
L0_s1,2,144,0.11364,0.78595,0.00678,0.8524
L0_s1,2,145,0.09034,0.62711,0.00866,0.88197
L0_s1,2,146,0.1244,0.90344,0.00606,0.89787
L0_s1,2,147,0.09716,0.80124,0.00763,0.93472
L0_s1,2,148,0.08639,0.52396,0.01088,0.86804
L0_s1,2,149,0.04868,0.96452,0.00728,0.94983
L0_s1,2,150,0.09389,0.26876,0.01205,0.87528
L0_s1,2,151,0.08817,0.14158,0.0222,0.86565
L0_s1,2,152,0.13102,0.85439,0.00715,0.92244
L0_s1,2,153,0.06758,0.68175,0.00811,0.86512
L0_s1,2,154,0.1395,0.5688,0.00989,0.90528
L0_s1,2,155,0.07281,0.96184,0.0076,0.8714
L0_s1,2,156,0.06051,0.96376,0.00706,0.8735
L0_s1,2,157,0.08843,0.44392,0.01,0.8692
L0_s1,2,158,0.06855,0.94486,0.00687,0.87949
L0_s1,2,159,0.07265,0.46733,0.01098,0.87622
L0_s1,2,160,0.10943,0.46543,0.00878,0.85453
L0_s1,2,161,0.0751,0.11704,0.02158,0.87895
L0_s1,2,162,0.08614,0.73961,0.0074,0.8827
L0_s1,2,163,0.07031,0.94975,0.00737,0.84324
L0_s1,2,164,0.01931,0.04492,0.05501,0.89445
L0_s1,2,165,0.06935,0.39681,0.01276,0.8798
L0_s1,2,166,0.07938,0.22625,0.01544,0.82091
L0_s1,2,167,0.10465,0.57154,0.00821,0.91538
L0_s1,2,168,0.04244,0.94942,0.0067,0.86799
L0_s1,2,169,0.09811,0.87811,0.0068,0.82824
L0_s1,2,170,0.14077,0.72586,0.00631,0.82915
L0_s1,2,171,0.08954,0.18424,0.01567,0.89801
L0_s1,2,172,0.13496,0.81717,0.00676,0.89009
L0_s1,2,173,0.10227,0.23046,0.01305,0.89868
L0_s1,2,174,0.06212,0.19093,0.01708,0.89632
L0_s1,2,175,0.14515,0.85222,0.00684,0.86745
L0_s1,2,176,0.10145,0.64413,0.00815,0.9126
L0_s1,2,177,0.08367,0.13853,0.01827,0.86964
L0_s1,2,178,0.10422,0.12322,0.02354,0.88271
L0_s1,2,179,0.08401,0.31171,0.01404,0.96109
L0_s1,2,180,0.09207,0.51007,0.00925,0.90454
L0_s1,2,181,0.11798,0.65827,0.00767,0.89311
L0_s1,2,182,0.13079,0.66476,0.0087,0.88342
L0_s1,2,183,0.10349,0.89986,0.00814,0.92937
L0_s1,2,184,0.06642,0.96093,0.00718,0.83999
L0_s1,2,185,0.05618,0.24604,0.01499,0.85518
L0_s1,2,186,0.09417,0.87665,0.00706,0.92622
L0_s1,2,187,0.06972,0.23528,0.01276,0.89775
L0_s1,2,188,0.11331,0.87099,0.00758,0.87397
L0_s1,2,189,0.11965,0.88241,0.00666,0.87813
L0_s1,2,190,0.10719,0.80127,0.00772,0.8911
L0_s1,2,191,0.07558,0.12268,0.02201,0.86021
L0_s1,3,0,0.0327,0.041,0.06118,0.89954
L0_s1,3,1,0.12118,0.83112,0.00649,0.88015
L0_s1,3,2,0.07918,0.35912,0.01151,0.87321
L0_s1,3,3,0.09665,0.85802,0.00816,0.87066
L0_s1,3,4,0.09227,0.63063,0.00874,0.88007
L0_s1,3,5,0.08791,0.86174,0.00781,0.88828
L0_s1,3,6,0.09209,0.77395,0.00824,0.90198
L0_s1,3,7,0.01693,0.0629,0.03833,0.86675
L0_s1,3,8,0.09508,0.63896,0.00839,0.90406
L0_s1,3,9,0.07405,0.20895,0.01525,0.88977
L0_s1,3,10,0.09796,0.32175,0.01325,0.85806
L0_s1,3,11,0.11508,0.58511,0.00952,0.85939
L0_s1,3,12,0.0894,0.24575,0.01737,0.84344
L0_s1,3,13,0.07722,0.33342,0.01298,0.89998
L0_s1,3,14,0.11952,0.36948,0.01189,0.84297
L0_s1,3,15,0.0694,0.09579,0.03114,0.87862
L0_s1,3,16,0.09137,0.33214,0.01445,0.87524
L0_s1,3,17,0.11413,0.87742,0.00722,0.87168
L0_s1,3,18,0.144,0.80668,0.00847,0.86589
L0_s1,3,19,0.11223,0.69962,0.00897,0.86484
L0_s1,3,20,0.12031,0.34036,0.01263,0.87711
L0_s1,3,21,0.11957,0.84207,0.00684,0.85857
L0_s1,3,22,0.06519,0.52932,0.01143,0.82642
L0_s1,3,23,0.09884,0.75642,0.00764,0.89223
L0_s1,3,24,0.05769,0.47671,0.01091,0.86087
L0_s1,3,25,0.0948,0.79909,0.00896,0.86402
L0_s1,3,26,0.09931,0.33154,0.01312,0.86146
L0_s1,3,27,0.0836,0.30462,0.01489,0.88093
L0_s1,3,28,0.03291,0.17213,0.01886,0.92747
L0_s1,3,29,0.08848,0.39287,0.01302,0.86076
L0_s1,3,30,0.04642,0.35237,0.01424,0.87013
L0_s1,3,31,0.06186,0.35921,0.01391,0.86962
L0_s1,3,32,0.10888,0.5639,0.00943,0.87248
L0_s1,3,33,0.08415,0.86703,0.00765,0.88392
L0_s1,3,34,0.09481,0.48857,0.01021,0.88167
L0_s1,3,35,0.07776,0.29066,0.01548,0.88489
L0_s1,3,36,0.10621,0.4849,0.01023,0.8709
L0_s1,3,37,0.08353,0.28034,0.01512,0.86039
L0_s1,3,38,0.07824,0.31593,0.01464,0.85541
L0_s1,3,39,0.10492,0.43423,0.01123,0.87474
L0_s1,3,40,0.10883,0.86589,0.00706,0.84214
L0_s1,3,41,0.09689,0.36896,0.01294,0.846
L0_s1,3,42,0.12488,0.67058,0.00841,0.85864
L0_s1,3,43,0.11185,0.39718,0.01097,0.87857
L0_s1,3,44,0.07705,0.34396,0.01263,0.88801
L0_s1,3,45,0.07834,0.78334,0.00865,0.88571
L0_s1,3,46,0.09537,0.75319,0.00878,0.89019
L0_s1,3,47,0.10545,0.87753,0.00736,0.85337
L0_s1,3,48,0.06902,0.9625,0.00749,0.90505
L0_s1,3,49,0.15514,0.81559,0.00858,0.87301
L0_s1,3,50,0.01627,0.04347,0.05698,0.91125
L0_s1,3,51,0.06515,0.67749,0.00902,0.90138
