label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s0_TEMPORAL,g3_tmoe_s0_1e16,3,67,5528,0.6201,0.7388,0.1187
s0_TEMPORAL,g3_tmoe_s0_1e16,3,68,6773,0.6426,0.7849,0.1423
s0_TEMPORAL,g3_tmoe_s0_1e16,3,69,253,0.4239,0.8973,0.4734
s0_TEMPORAL,g3_tmoe_s0_1e16,3,70,3146,0.7502,0.7926,0.0424
s0_TEMPORAL,g3_tmoe_s0_1e16,3,72,264,nan,nan,nan
s0_TEMPORAL,g3_tmoe_s0_1e16,3,73,1582,0.4726,0.4497,-0.023
s0_TEMPORAL,g3_tmoe_s0_1e16,3,74,6768,0.6578,0.8717,0.2139
s0_TEMPORAL,g3_tmoe_s0_1e16,3,75,213,0.5924,0.6505,0.0581
s0_TEMPORAL,g3_tmoe_s0_1e16,3,76,1564,0.662,0.9469,0.285
s0_TEMPORAL,g3_tmoe_s0_1e16,3,77,3353,0.6405,0.7556,0.1152
s0_TEMPORAL,g3_tmoe_s0_1e16,3,79,7519,0.5451,0.6074,0.0623
s0_TEMPORAL,g3_tmoe_s0_1e16,3,80,4029,0.5448,0.6354,0.0906
s0_TEMPORAL,g3_tmoe_s0_1e16,3,81,1486,0.6686,0.8272,0.1586
s0_TEMPORAL,g3_tmoe_s0_1e16,3,82,4676,0.6418,0.7925,0.1507
s0_TEMPORAL,g3_tmoe_s0_1e16,3,83,2362,0.7222,0.76,0.0378
s0_TEMPORAL,g3_tmoe_s0_1e16,3,84,2218,0.5604,0.7576,0.1972
s0_TEMPORAL,g3_tmoe_s0_1e16,3,85,16670,0.5322,0.576,0.0438
s0_TEMPORAL,g3_tmoe_s0_1e16,3,86,9710,0.6875,0.8014,0.1139
s0_TEMPORAL,g3_tmoe_s0_1e16,3,87,1799,0.6401,0.7901,0.15
s0_TEMPORAL,g3_tmoe_s0_1e16,3,88,129,0.5278,0.0811,-0.4466
s0_TEMPORAL,g3_tmoe_s0_1e16,3,90,9378,0.5993,0.7361,0.1368
s0_TEMPORAL,g3_tmoe_s0_1e16,3,91,246,0.6762,0.9083,0.2321
s0_TEMPORAL,g3_tmoe_s0_1e16,3,92,3383,0.6418,0.7144,0.0726
s0_TEMPORAL,g3_tmoe_s0_1e16,3,94,1117,0.6417,0.7758,0.1341
s0_TEMPORAL,g3_tmoe_s0_1e16,3,95,4206,0.7135,0.8796,0.1661
